sample,time,window,precision,modulation,band,power,payload,crc,tx2rxdone
227,33:35.0,0.2,2.00E-07,4,9,21,27,FALSE,0.108788309
228,33:45.7,2,4.00E-07,2,5,9,71,TRUE,0.762732953
229,33:55.0,1,2.00E-07,2,43,4,20,FALSE,0.353017671
230,34:03.7,1,2.00E-07,0,29,17,3,TRUE,0.760081152
231,34:04.9,0.04,4.00E-07,8,20,11,154,TRUE,0.010930909
232,34:15.7,2,4.00E-07,3,46,-1,102,TRUE,0.565514513
233,34:24.5,1,2.00E-07,5,26,-3,205,FALSE,0.320713464
234,34:40.0,4,8.00E-07,2,1,22,204,FALSE,1.827724366
235,34:41.0,0.01,1.00E-07,8,19,20,56,TRUE,0.004659147
236,34:52.5,2,4.00E-07,3,15,-3,121,FALSE,0.647394129
237,34:53.6,0.02,2.00E-07,7,0,16,4,TRUE,0.009660897
238,34:54.8,0.01,1.00E-07,9,0,13,83,FALSE,0.00398764
239,36:04.1,20,1.00E-06,0,48,2,159,TRUE,6.0026343
240,36:06.5,0.2,2.00E-07,6,34,-2,100,FALSE,0.098459898
241,37:15.5,20,1.00E-06,0,43,21,191,FALSE,6.985669349
242,37:46.5,0.04,4.00E-07,8,25,1,247,FALSE,
243,37:55.3,1,2.00E-07,5,6,21,146,TRUE,0.238755048
244,38:27.0,1,2.00E-07,6,43,1,246,FALSE,
245,38:36.9,1,2.00E-07,4,6,6,85,TRUE,0.262387652
246,38:39.0,0.1,1.00E-07,4,19,-3,8,TRUE,0.067786968
247,39:25.8,10,5.00E-07,1,41,2,169,TRUE,3.410155171
248,39:34.6,1,2.00E-07,5,46,7,137,TRUE,0.223455445
249,40:22.1,10,5.00E-07,1,16,-1,225,FALSE,4.39318272
250,40:30.9,1,2.00E-07,1,1,22,4,TRUE,0.460938892
251,40:32.1,0.01,1.00E-07,9,2,1,103,TRUE,0.004867049
252,40:34.6,0.4,4.00E-07,4,49,17,56,TRUE,0.190667791
253,40:35.8,0.02,2.00E-07,8,23,11,86,FALSE,0.006450865
254,40:44.8,1,2.00E-07,5,12,6,238,FALSE,0.371832074
