sample,time,window,precision,modulation,band,power,payload,tx2rf
110,2018-05-31 09:10:40.156069,0.0004,4.0000400004000045e-09,1,6,14,14,0.00012634526345263453
111,2018-05-31 09:10:41.042177,0.0004,4.0000400004000045e-09,9,15,-2,13,0.00012594525945259453
112,2018-05-31 09:10:42.021598,0.0004,4.0000400004000045e-09,8,0,21,51,0.00012608926089260894
113,2018-05-31 09:10:42.903627,0.0004,4.0000400004000045e-09,6,37,10,2,0.00012572925729257295
114,2018-05-31 09:10:43.912105,0.0004,4.0000400004000045e-09,3,13,0,59,0.00012568125681256814
115,2018-05-31 09:10:44.874718,0.0004,4.0000400004000045e-09,0,38,14,60,0.00012728927289272894
116,2018-05-31 09:10:45.810570,0.0004,4.0000400004000045e-09,3,40,4,8,0.00012765727657276573
117,2018-05-31 09:10:46.719539,0.0004,4.0000400004000045e-09,0,8,15,1,0.00012579325793257934
118,2018-05-31 09:10:47.652532,0.0004,4.0000400004000045e-09,6,7,-3,39,0.00012703727037270373
119,2018-05-31 09:10:48.596012,0.0004,4.0000400004000045e-09,2,7,3,52,0.00012808928089280894
120,2018-05-31 09:10:49.569648,0.0004,4.0000400004000045e-09,2,42,20,14,0.00012573725737257375
121,2018-05-31 09:10:50.465725,0.0004,4.0000400004000045e-09,9,49,19,31,0.00012611726117261175
122,2018-05-31 09:10:51.414182,0.0004,4.0000400004000045e-09,7,39,17,62,0.00012572525725257255
123,2018-05-31 09:10:52.298313,0.0004,4.0000400004000045e-09,6,22,12,11,0.00012623326233262335
124,2018-05-31 09:10:53.274370,0.0004,4.0000400004000045e-09,3,41,3,23,0.00012563725637256375
125,2018-05-31 09:10:54.243397,0.0004,4.0000400004000045e-09,8,34,20,28,0.00012585325853258533
126,2018-05-31 09:10:55.175208,0.0004,4.0000400004000045e-09,1,7,-3,41,0.00012641326413264135
127,2018-05-31 09:10:56.086110,0.0004,4.0000400004000045e-09,5,8,13,58,0.00012671326713267135
128,2018-05-31 09:10:57.006163,0.0004,4.0000400004000045e-09,5,35,12,52,0.00012589725897258974
129,2018-05-31 09:10:58.004516,0.0004,4.0000400004000045e-09,8,33,17,54,0.00012643326433264335
130,2018-05-31 09:10:58.896974,0.0004,4.0000400004000045e-09,1,5,8,10,0.00012630526305263055
131,2018-05-31 09:10:59.793033,0.0004,4.0000400004000045e-09,5,43,-1,47,0.00012574925749257493
132,2018-05-31 09:11:00.720385,0.0004,4.0000400004000045e-09,6,13,6,12,0.00012574925749257493
133,2018-05-31 09:11:01.628305,0.0004,4.0000400004000045e-09,9,16,19,46,0.00012652526525265255
134,2018-05-31 09:11:02.532495,0.0004,4.0000400004000045e-09,4,22,17,41,0.00012574125741257413
135,2018-05-31 09:11:03.427707,0.0004,4.0000400004000045e-09,4,42,19,27,0.00012612126121261215
136,2018-05-31 09:11:04.424396,0.0004,4.0000400004000045e-09,1,0,14,9,0.00012604926049260493
137,2018-05-31 09:11:05.367193,0.0004,4.0000400004000045e-09,5,34,19,35,0.00012564125641256413
138,2018-05-31 09:11:06.298838,0.0004,4.0000400004000045e-09,0,3,21,31,0.00012578525785257854
139,2018-05-31 09:11:07.204989,0.0004,4.0000400004000045e-09,0,9,-2,40,0.00012605726057260573
140,2018-05-31 09:11:08.120952,0.0004,4.0000400004000045e-09,6,13,8,49,0.00012570125701257014
141,2018-05-31 09:11:09.035296,0.0004,4.0000400004000045e-09,3,3,19,60,0.00012586525865258653
142,2018-05-31 09:11:10.012675,0.0004,4.0000400004000045e-09,5,37,14,64,0.00012578925789257894
143,2018-05-31 09:11:11.021718,0.0004,4.0000400004000045e-09,1,37,10,32,0.00012679726797267974
144,2018-05-31 09:11:11.953579,0.0004,4.0000400004000045e-09,0,10,6,9,0.00012572125721257215
145,2018-05-31 09:11:12.864581,0.0004,4.0000400004000045e-09,8,28,19,54,0.00012614126141261413
146,2018-05-31 09:11:13.926314,0.0004,4.0000400004000045e-09,9,40,21,62,0.00012755327553275533
147,2018-05-31 09:11:14.825439,0.0004,4.0000400004000045e-09,3,23,19,24,0.00012570525705257054
148,2018-05-31 09:11:15.707790,0.0004,4.0000400004000045e-09,1,7,4,11,0.00012573325733257335
149,2018-05-31 09:11:16.591175,0.0004,4.0000400004000045e-09,7,5,6,20,0.00012577725777257774
150,2018-05-31 09:11:17.583127,0.0004,4.0000400004000045e-09,5,10,4,19,0.00012697326973269734
151,2018-05-31 09:11:18.509006,0.0004,4.0000400004000045e-09,4,46,-3,14,0.00012572125721257215
152,2018-05-31 09:11:19.459995,0.0004,4.0000400004000045e-09,1,40,-3,64,0.00012648926489264894
153,2018-05-31 09:11:20.443791,0.0004,4.0000400004000045e-09,8,2,19,46,0.00012584125841258413
154,2018-05-31 09:11:21.395074,0.0004,4.0000400004000045e-09,1,11,20,64,0.00012574125741257413
155,2018-05-31 09:11:22.330158,0.0004,4.0000400004000045e-09,4,13,4,23,0.00012579725797257974
156,2018-05-31 09:11:23.236328,0.0004,4.0000400004000045e-09,0,29,7,41,0.00012568125681256814
157,2018-05-31 09:11:24.250194,0.0004,4.0000400004000045e-09,7,36,-3,38,0.00012566925669256693
158,2018-05-31 09:11:25.190070,0.0004,4.0000400004000045e-09,8,0,18,27,0.00012615326153261533
159,2018-05-31 09:11:26.076745,0.0004,4.0000400004000045e-09,3,30,3,26,0.00012602126021260215
160,2018-05-31 09:11:26.985176,0.0004,4.0000400004000045e-09,4,18,1,58,0.00012696526965269654
161,2018-05-31 09:11:27.906301,0.0004,4.0000400004000045e-09,8,38,22,62,0.00012582125821258215
162,2018-05-31 09:11:28.847877,0.0004,4.0000400004000045e-09,4,29,11,32,0.00012746927469274694
163,2018-05-31 09:11:29.792303,0.0004,4.0000400004000045e-09,4,5,16,48,0.00012608526085260854
164,2018-05-31 09:11:30.677211,0.0004,4.0000400004000045e-09,3,47,8,8,0.00012572125721257215
165,2018-05-31 09:11:31.634514,0.0004,4.0000400004000045e-09,9,10,8,37,0.00012576925769257693
166,2018-05-31 09:11:32.532829,0.0004,4.0000400004000045e-09,1,7,-2,2,0.00012570125701257014
167,2018-05-31 09:11:33.497098,0.0004,4.0000400004000045e-09,2,29,-3,41,0.00012660126601266014
168,2018-05-31 09:11:34.410198,0.0004,4.0000400004000045e-09,1,24,20,18,0.00012580925809258095
169,2018-05-31 09:11:35.318523,0.0004,4.0000400004000045e-09,3,19,10,64,0.00012611726117261175
170,2018-05-31 09:11:36.243369,0.0004,4.0000400004000045e-09,6,51,22,37,0.00012570125701257014
171,2018-05-31 09:11:37.115634,0.0004,4.0000400004000045e-09,2,46,16,3,0.00012574125741257413
172,2018-05-31 09:11:38.058726,0.0004,4.0000400004000045e-09,2,7,8,51,0.00012573725737257375
173,2018-05-31 09:11:38.964022,0.0004,4.0000400004000045e-09,8,41,12,49,0.00012588125881258814
174,2018-05-31 09:11:39.908862,0.0004,4.0000400004000045e-09,3,33,16,56,0.00012568125681256814
175,2018-05-31 09:11:40.814109,0.0004,4.0000400004000045e-09,5,0,1,50,0.00012614126141261413
176,2018-05-31 09:11:41.780952,0.0004,4.0000400004000045e-09,2,37,-3,40,0.00012574925749257493
177,2018-05-31 09:11:42.732801,0.0004,4.0000400004000045e-09,7,34,13,64,0.00012568125681256814
178,2018-05-31 09:11:43.663202,0.0004,4.0000400004000045e-09,5,3,6,23,0.00012634526345263453
179,2018-05-31 09:11:44.574272,0.0004,4.0000400004000045e-09,7,22,11,45,0.00012577725777257774
180,2018-05-31 09:11:45.497614,0.0004,4.0000400004000045e-09,3,25,3,50,0.00012571725717257175
181,2018-05-31 09:11:46.370447,0.0004,4.0000400004000045e-09,7,14,13,2,0.00012582525825258255
182,2018-05-31 09:11:47.348422,0.0004,4.0000400004000045e-09,7,49,6,46,0.00012570125701257014
183,2018-05-31 09:11:48.288665,0.0004,4.0000400004000045e-09,8,17,1,62,0.00012579325793257934
184,2018-05-31 09:11:49.207688,0.0004,4.0000400004000045e-09,3,47,0,5,0.00012568925689256894
185,2018-05-31 09:11:50.119313,0.0004,4.0000400004000045e-09,4,29,3,54,0.00012656526565265653
186,2018-05-31 09:11:51.076346,0.0004,4.0000400004000045e-09,5,44,21,61,0.00012571325713257135
187,2018-05-31 09:11:51.987876,0.0004,4.0000400004000045e-09,9,1,13,3,0.00012607326073260734
188,2018-05-31 09:11:52.866458,0.0004,4.0000400004000045e-09,7,38,13,4,0.00012580125801258014
189,2018-05-31 09:11:53.807971,0.0004,4.0000400004000045e-09,9,44,-2,45,0.00012593325933259335
190,2018-05-31 09:11:54.830779,0.0004,4.0000400004000045e-09,9,33,16,48,0.00012734127341273413
191,2018-05-31 09:11:55.755398,0.0004,4.0000400004000045e-09,4,23,17,17,0.00012574525745257453
192,2018-05-31 09:11:56.666926,0.0004,4.0000400004000045e-09,0,34,20,5,0.00012573325733257335
193,2018-05-31 09:11:57.578926,0.0004,4.0000400004000045e-09,4,14,13,25,0.00012668126681266814
194,2018-05-31 09:11:58.563762,0.0004,4.0000400004000045e-09,0,15,18,58,0.00012570925709257095
195,2018-05-31 09:11:59.568722,0.0004,4.0000400004000045e-09,6,32,16,33,0.00012577325773257734
196,2018-05-31 09:12:00.531336,0.0004,4.0000400004000045e-09,5,14,0,21,0.00012586925869258693
197,2018-05-31 09:12:01.472433,0.0004,4.0000400004000045e-09,0,39,18,62,0.00012696126961269613
198,2018-05-31 09:12:02.404688,0.0004,4.0000400004000045e-09,2,37,17,35,0.00012626926269262694
199,2018-05-31 09:12:03.361156,0.0004,4.0000400004000045e-09,1,17,5,9,0.00012579725797257974
200,2018-05-31 09:12:04.285104,0.0004,4.0000400004000045e-09,3,29,-1,44,0.00012580925809258095
201,2018-05-31 09:12:05.176112,0.0004,4.0000400004000045e-09,9,47,9,46,0.00012642926429264295
202,2018-05-31 09:12:06.226141,0.0004,4.0000400004000045e-09,6,28,2,48,0.00012588925889258894
203,2018-05-31 09:12:07.153115,0.0004,4.0000400004000045e-09,7,40,-1,30,0.00012692926929269295
204,2018-05-31 09:12:08.069115,0.0004,4.0000400004000045e-09,5,15,22,13,0.00012695726957269573
205,2018-05-31 09:12:08.981764,0.0004,4.0000400004000045e-09,3,36,20,6,0.00012578525785257854
206,2018-05-31 09:12:09.997144,0.0004,4.0000400004000045e-09,8,34,14,55,0.00012641326413264135
207,2018-05-31 09:12:10.972921,0.0004,4.0000400004000045e-09,9,20,3,49,0.00012652126521265215
208,2018-05-31 09:12:11.973922,0.0004,4.0000400004000045e-09,4,1,6,28,0.00012570525705257054
209,2018-05-31 09:12:12.940897,0.0004,4.0000400004000045e-09,5,8,11,38,0.00012689726897268974
210,2018-05-31 09:12:13.950898,0.0004,4.0000400004000045e-09,5,31,1,56,0.00012582925829258295
211,2018-05-31 09:12:14.963898,0.0004,4.0000400004000045e-09,8,32,6,40,0.00012763327633276336
212,2018-05-31 09:12:15.936898,0.0004,4.0000400004000045e-09,5,8,11,36,0.00012606526065260653
213,2018-05-31 09:12:16.931897,0.0004,4.0000400004000045e-09,9,46,2,13,0.00012592925929259295
214,2018-05-31 09:12:17.937128,0.0004,4.0000400004000045e-09,1,44,9,40,0.00012592125921259215
215,2018-05-31 09:12:18.850040,0.0004,4.0000400004000045e-09,1,8,10,48,0.00012791727917279175
216,2018-05-31 09:12:19.737925,0.0004,4.0000400004000045e-09,6,37,12,11,0.00012577325773257734
217,2018-05-31 09:12:20.638817,0.0004,4.0000400004000045e-09,7,36,17,34,0.00012642526425264255
218,2018-05-31 09:12:21.526598,0.0004,4.0000400004000045e-09,0,35,2,15,0.00012570925709257095
219,2018-05-31 09:12:22.426118,0.0004,4.0000400004000045e-09,2,22,1,31,0.00012604526045260453
220,2018-05-31 09:12:23.373557,0.0004,4.0000400004000045e-09,0,23,21,58,0.00012609326093260934
221,2018-05-31 09:12:24.307492,0.0004,4.0000400004000045e-09,7,40,17,39,0.00012745727457274573
222,2018-05-31 09:12:25.292099,0.0004,4.0000400004000045e-09,5,9,11,60,0.00012572925729257295
223,2018-05-31 09:12:26.218395,0.0004,4.0000400004000045e-09,5,36,-3,11,0.00012573325733257335
