sample,time,window,precision,modulation,band,power,payload,tx2rxdone
126,2018-06-01 19:02:34.824906,10.0,2.00000040000008e-06,1,29,7,105,2.3450824690164938
127,2018-06-01 19:02:37.668240,1.0,1.000001000001e-06,4,47,11,80,0.26228926228926225
128,2018-06-01 19:02:42.000577,2.0,2.000002000002e-06,2,7,4,81,0.8855188855188855
129,2018-06-01 19:02:44.976371,1.0,1.000001000001e-06,5,33,12,128,0.2182152182152182
130,2018-06-01 19:02:45.969700,0.1,1.0000100001000012e-06,6,39,7,7,0.021721217212172125
131,2018-06-01 19:02:47.203996,0.4,4.000040000400005e-06,4,8,7,51,0.19056990569905702
132,2018-06-01 19:02:48.132231,0.01,1.0001000100010001e-06,8,42,0,49,0.004276427642764277
133,2018-06-01 19:03:08.617375,10.0,2.00000040000008e-06,0,32,16,79,3.3813186762637355
134,2018-06-01 19:03:09.861190,0.4,4.000040000400005e-06,3,44,14,20,0.19694196941969422
135,2018-06-01 19:03:10.787555,0.01,1.0001000100010001e-06,8,9,21,47,0.00414941494149415
136,2018-06-01 19:03:11.855868,0.2,2.0000200002000023e-06,6,50,9,44,0.05492054920549206
137,2018-06-01 19:03:12.907351,0.2,2.0000200002000023e-06,5,1,8,30,0.07485674856748568
138,2018-06-01 19:03:13.962828,0.2,2.0000200002000023e-06,6,49,6,53,0.06260262602626027
139,2018-06-01 19:03:14.907746,0.01,1.0001000100010001e-06,9,36,20,91,0.004428442844284428
140,2018-06-01 19:03:35.273243,10.0,2.00000040000008e-06,1,12,2,118,2.590820518164104
141,2018-06-01 19:03:36.557319,0.4,4.000040000400005e-06,6,8,11,110,0.11124111241112412
142,2018-06-01 19:03:37.498301,0.01,1.0001000100010001e-06,9,50,17,83,0.00410941094109411
143,2018-06-01 19:03:38.615034,0.2,2.0000200002000023e-06,7,31,4,128,0.07372273722737228
144,2018-06-01 19:03:39.525119,0.004,4.004004004004004e-06,8,12,3,13,0.001973973973973974
145,2018-06-01 19:03:42.476163,1.0,1.000001000001e-06,3,40,3,51,0.34028034028034027
146,2018-06-01 19:03:43.691672,0.4,4.000040000400005e-06,5,39,15,79,0.14654146541465418
147,2018-06-01 19:03:45.024427,0.4,4.000040000400005e-06,3,15,16,15,0.1764417644176442
148,2018-06-01 19:03:46.061267,0.1,1.0000100001000012e-06,7,46,1,25,0.021219212192121924
149,2018-06-01 19:03:47.144644,0.2,2.0000200002000023e-06,7,0,-1,92,0.055760557605576064
150,2018-06-01 19:03:48.059379,0.01,1.0001000100010001e-06,9,1,15,38,0.0023092309230923094
151,2018-06-01 19:04:08.403035,10.0,2.00000040000008e-06,0,3,-2,104,4.200510840102169
152,2018-06-01 19:04:09.730231,0.4,4.000040000400005e-06,5,15,21,79,0.14653746537465376
153,2018-06-01 19:04:16.838274,4.0,4.000004000004e-06,1,23,18,56,1.4439934439934439
154,2018-06-01 19:04:24.046310,4.0,4.000004000004e-06,2,1,12,103,1.0494330494330493
155,2018-06-01 19:04:25.313131,0.4,4.000040000400005e-06,6,20,0,116,0.11636116361163613
156,2018-06-01 19:04:26.692057,0.4,4.000040000400005e-06,6,41,1,126,0.12408124081240814
157,2018-06-01 19:04:30.942682,2.0,2.000002000002e-06,1,19,4,11,0.6248006248006247
158,2018-06-01 19:04:33.790433,1.0,1.000001000001e-06,4,47,17,109,0.334010334010334
159,2018-06-01 19:04:34.877326,0.2,2.0000200002000023e-06,5,16,1,34,0.07999479994799949
160,2018-06-01 19:04:39.213762,2.0,2.000002000002e-06,2,26,15,49,0.5989165989165989
161,2018-06-01 19:04:40.167563,0.01,1.0001000100010001e-06,9,7,9,92,0.004468446844684468
162,2018-06-01 19:04:41.470621,0.2,2.0000200002000023e-06,5,45,15,39,0.08517685176851769
163,2018-06-01 19:04:42.377868,0.004,4.004004004004004e-06,9,15,15,21,0.0016296296296296295
164,2018-06-01 19:04:46.712084,2.0,2.000002000002e-06,2,7,22,66,0.7626367626367626
165,2018-06-01 19:04:49.638459,1.0,1.000001000001e-06,4,43,6,64,0.22132622132622132
166,2018-06-01 19:04:50.720111,0.2,2.0000200002000023e-06,3,14,4,0,
167,2018-06-01 19:04:55.082386,2.0,2.000002000002e-06,3,32,18,102,0.5656145656145656
168,2018-06-01 19:04:57.913612,1.0,1.000001000001e-06,3,30,10,57,0.3608203608203608
169,2018-06-01 19:05:00.847591,1.0,1.000001000001e-06,3,44,8,55,0.36073636073636073
170,2018-06-01 19:05:07.927065,4.0,4.000004000004e-06,0,49,7,24,1.579093579093579
171,2018-06-01 19:05:28.519584,10.0,2.00000040000008e-06,1,8,-1,109,
172,2018-06-01 19:05:29.492390,0.02,2.0002000200020003e-06,8,31,6,123,0.009012901290129013
173,2018-06-01 19:05:30.565571,0.2,2.0000200002000023e-06,7,25,22,93,0.055798557985579866
174,2018-06-01 19:05:31.562854,0.1,1.0000100001000012e-06,6,41,9,30,0.04215942159421595
175,2018-06-01 19:05:32.811550,0.4,4.000040000400005e-06,4,24,5,24,0.11892918929189293
176,2018-06-01 19:05:33.798036,0.1,1.0000100001000012e-06,5,49,-2,14,0.049316493164931655
177,2018-06-01 19:05:34.745997,0.1,1.0000100001000012e-06,6,28,6,8,0.024200242002420026
178,2018-06-01 19:05:35.699285,0.1,1.0000100001000012e-06,6,33,18,14,0.029319293192931934
179,2018-06-01 19:05:36.595081,0.01,1.0001000100010001e-06,8,2,17,57,0.004787478747874788
180,2018-06-01 19:05:37.464108,0.01,1.0001000100010001e-06,9,17,22,43,0.0025082508250825085
181,2018-06-01 19:05:38.351618,0.04,4.0004000400040005e-06,7,40,0,12,0.014801480148014802
182,2018-06-01 19:05:41.344198,1.0,1.000001000001e-06,4,22,16,99,0.3134463134463134
183,2018-06-01 19:05:42.311930,0.02,2.0002000200020003e-06,9,7,16,118,
184,2018-06-01 19:05:43.649173,0.2,2.0000200002000023e-06,7,15,8,88,0.05323853238532386
185,2018-06-01 19:06:04.124177,10.0,2.00000040000008e-06,0,50,8,73,3.217436643487329
186,2018-06-01 19:06:05.057697,0.01,1.0001000100010001e-06,9,25,19,46,0.0026272627262726275
187,2018-06-01 19:06:05.922629,0.01,1.0001000100010001e-06,8,27,0,38,0.0035713571357135713
188,2018-06-01 19:06:06.795457,0.002,2.002002002002002e-06,9,2,11,6,
189,2018-06-01 19:06:08.054186,0.2,2.0000200002000023e-06,5,39,8,41,0.09023690236902371
