sample,time,window,precision,modulation,band,tx,measured
150,2018-06-07 10:28:44.615291,0.001,1.000010000100001e-08,6,17,True,0.0003400734007340074
151,2018-06-07 10:28:45.571640,0.001,1.000010000100001e-08,7,46,False,0.0002732527325273253
152,2018-06-07 10:28:46.485551,0.001,1.000010000100001e-08,0,15,True,0.00034357343573435735
153,2018-06-07 10:28:47.437465,0.001,1.000010000100001e-08,8,11,True,0.0005424854248542486
154,2018-06-07 10:28:48.394495,0.001,1.000010000100001e-08,7,20,False,0.0002493724937249373
155,2018-06-07 10:28:49.351534,0.001,1.000010000100001e-08,4,45,False,0.0002756427564275643
156,2018-06-07 10:28:50.331473,0.001,1.000010000100001e-08,9,22,False,0.0004779647796477965
157,2018-06-07 10:28:51.398563,0.001,1.000010000100001e-08,0,22,False,0.00025247252472524725
158,2018-06-07 10:28:52.358940,0.001,1.000010000100001e-08,2,0,True,0.0003646336463364634
159,2018-06-07 10:28:53.279668,0.001,1.000010000100001e-08,7,10,False,0.0002717327173271733
160,2018-06-07 10:28:54.239198,0.001,1.000010000100001e-08,0,50,True,0.0003476234762347624
161,2018-06-07 10:28:55.159673,0.001,1.000010000100001e-08,7,51,False,0.0002747227472274723
162,2018-06-07 10:28:56.106671,0.001,1.000010000100001e-08,4,46,True,0.00034066340663406637
163,2018-06-07 10:28:57.021366,0.001,1.000010000100001e-08,4,6,True,0.0003668436684366844
164,2018-06-07 10:28:57.980125,0.001,1.000010000100001e-08,6,21,True,0.00034017340173401735
165,2018-06-07 10:28:58.894465,0.001,1.000010000100001e-08,7,37,False,0.0002721227212272123
166,2018-06-07 10:28:59.847607,0.001,1.000010000100001e-08,5,18,False,0.0002737627376273763
167,2018-06-07 10:29:00.767180,0.001,1.000010000100001e-08,8,18,False,0.00047267472674726753
168,2018-06-07 10:29:01.692429,0.001,1.000010000100001e-08,4,13,True,0.0003174231742317423
169,2018-06-07 10:29:02.606324,0.001,1.000010000100001e-08,2,34,True,0.00027258272582725827
170,2018-06-07 10:29:03.522878,0.001,1.000010000100001e-08,9,29,False,0.00047803478034780353
171,2018-06-07 10:29:04.437891,0.001,1.000010000100001e-08,8,25,False,0.0004451344513445135
172,2018-06-07 10:29:05.365250,0.001,1.000010000100001e-08,0,42,True,0.00031777317773177736
173,2018-06-07 10:29:06.323533,0.001,1.000010000100001e-08,5,27,True,0.0003400934009340094
174,2018-06-07 10:29:07.232177,0.001,1.000010000100001e-08,6,8,True,0.0003401334013340134
175,2018-06-07 10:29:08.181494,0.001,1.000010000100001e-08,4,4,True,0.0003643536435364354
176,2018-06-07 10:29:09.098422,0.001,1.000010000100001e-08,6,33,True,0.0003401134011340114
177,2018-06-07 10:29:10.138642,0.001,1.000010000100001e-08,2,7,True,0.00036446364463644637
178,2018-06-07 10:29:11.063562,0.001,1.000010000100001e-08,4,11,False,0.0002727427274272743
179,2018-06-07 10:29:12.027765,0.001,1.000010000100001e-08,0,34,False,0.00027576275762757627
180,2018-06-07 10:29:12.993207,0.001,1.000010000100001e-08,7,32,True,0.00034037340373403735
181,2018-06-07 10:29:13.945826,0.001,1.000010000100001e-08,3,17,False,0.0002737527375273753
182,2018-06-07 10:29:14.943315,0.001,1.000010000100001e-08,7,47,True,0.0003398833988339884
183,2018-06-07 10:29:15.860113,0.001,1.000010000100001e-08,9,47,True,0.0005414954149541496
184,2018-06-07 10:29:16.773011,0.001,1.000010000100001e-08,5,7,False,0.0002722427224272243
185,2018-06-07 10:29:17.690673,0.001,1.000010000100001e-08,2,13,True,0.00034043340433404336
186,2018-06-07 10:29:18.615808,0.001,1.000010000100001e-08,9,17,True,0.0005354753547535476
187,2018-06-07 10:29:19.539801,0.001,1.000010000100001e-08,3,25,False,0.0002520125201252013
188,2018-06-07 10:29:20.469663,0.001,1.000010000100001e-08,5,45,False,0.0002722927229272293
189,2018-06-07 10:29:21.394071,0.001,1.000010000100001e-08,4,9,False,0.00027239272392723927
190,2018-06-07 10:29:22.319778,0.001,1.000010000100001e-08,3,41,False,0.0002746127461274613
191,2018-06-07 10:29:23.243914,0.001,1.000010000100001e-08,3,3,True,0.0003641236412364124
192,2018-06-07 10:29:24.164154,0.001,1.000010000100001e-08,1,37,False,0.0002728527285272853
193,2018-06-07 10:29:25.079174,0.001,1.000010000100001e-08,9,1,False,0.0005006250062500625
194,2018-06-07 10:29:25.991454,0.001,1.000010000100001e-08,8,15,True,0.0005114251142511425
195,2018-06-07 10:29:26.944800,0.001,1.000010000100001e-08,6,16,False,0.0002486024860248603
196,2018-06-07 10:29:27.849192,0.001,1.000010000100001e-08,8,25,False,0.00047824478244782453
197,2018-06-07 10:29:28.804225,0.001,1.000010000100001e-08,2,39,True,0.00031868318683186833
198,2018-06-07 10:29:29.799637,0.001,1.000010000100001e-08,1,36,True,0.00034757347573475736
199,2018-06-07 10:29:30.743687,0.001,1.000010000100001e-08,0,41,False,0.0002731527315273153
200,2018-06-07 10:29:31.712129,0.001,1.000010000100001e-08,8,42,False,0.00047208472084720853
201,2018-06-07 10:29:32.714729,0.001,1.000010000100001e-08,2,49,False,0.00024966249662496624
202,2018-06-07 10:29:33.707117,0.001,1.000010000100001e-08,6,48,True,0.00034481344813448137
203,2018-06-07 10:29:34.726744,0.001,1.000010000100001e-08,4,7,True,0.0003723837238372384
204,2018-06-07 10:29:35.648214,0.001,1.000010000100001e-08,3,39,False,0.0002731427314273143
205,2018-06-07 10:29:36.615926,0.001,1.000010000100001e-08,2,39,True,0.00034654346543465435
206,2018-06-07 10:29:37.623913,0.001,1.000010000100001e-08,6,10,True,0.00033947339473394737
207,2018-06-07 10:29:38.620672,0.001,1.000010000100001e-08,8,40,False,0.0004724347243472435
208,2018-06-07 10:29:39.634791,0.001,1.000010000100001e-08,3,40,True,0.0002495824958249583
209,2018-06-07 10:29:40.542191,0.001,1.000010000100001e-08,2,7,False,0.00029802298022980233
210,2018-06-07 10:29:41.462912,0.001,1.000010000100001e-08,3,38,False,0.0002743027430274303
