sample,time,window,precision,modulation,band,measured
126,2018-06-14 08:57:45.090829,0.0002,2.0000200002000022e-09,3,22,6.733667336673368e-05
127,2018-06-14 08:57:45.931354,0.0002,2.0000200002000022e-09,3,26,6.721067210672107e-05
128,2018-06-14 08:57:46.898816,0.0002,2.0000200002000022e-09,3,49,6.733667336673368e-05
129,2018-06-14 08:57:47.853535,0.0002,2.0000200002000022e-09,6,46,6.720867208672087e-05
130,2018-06-14 08:57:48.731805,0.0002,2.0000200002000022e-09,0,5,6.731467314673147e-05
131,2018-06-14 08:57:49.618286,0.0002,2.0000200002000022e-09,2,42,6.725267252672528e-05
132,2018-06-14 08:57:50.542695,0.0002,2.0000200002000022e-09,3,50,6.727267272672727e-05
133,2018-06-14 08:57:51.466146,0.0002,2.0000200002000022e-09,2,44,6.725267252672528e-05
134,2018-06-14 08:57:52.373897,0.0002,2.0000200002000022e-09,9,36,6.733467334673348e-05
135,2018-06-14 08:57:53.323327,0.0002,2.0000200002000022e-09,3,35,6.721267212672127e-05
136,2018-06-14 08:57:54.190327,0.0002,2.0000200002000022e-09,9,9,6.756467564675647e-05
137,2018-06-14 08:57:55.059331,0.0002,2.0000200002000022e-09,8,29,6.721067210672107e-05
138,2018-06-14 08:57:55.930327,0.0002,2.0000200002000022e-09,0,38,6.721067210672107e-05
139,2018-06-14 08:57:56.845333,0.0002,2.0000200002000022e-09,3,30,6.721067210672107e-05
140,2018-06-14 08:57:57.749328,0.0002,2.0000200002000022e-09,1,25,6.721067210672107e-05
141,2018-06-14 08:57:58.656327,0.0002,2.0000200002000022e-09,1,51,6.721067210672107e-05
142,2018-06-14 08:57:59.602329,0.0002,2.0000200002000022e-09,1,26,6.721067210672107e-05
143,2018-06-14 08:58:00.467325,0.0002,2.0000200002000022e-09,9,30,6.721067210672107e-05
144,2018-06-14 08:58:01.329622,0.0002,2.0000200002000022e-09,0,41,6.733467334673348e-05
145,2018-06-14 08:58:02.353623,0.0002,2.0000200002000022e-09,7,49,6.727467274672747e-05
146,2018-06-14 08:58:03.215622,0.0002,2.0000200002000022e-09,6,3,6.733467334673348e-05
147,2018-06-14 08:58:04.156623,0.0002,2.0000200002000022e-09,2,50,6.731667316673167e-05
148,2018-06-14 08:58:05.064622,0.0002,2.0000200002000022e-09,1,36,6.733467334673348e-05
149,2018-06-14 08:58:05.968412,0.0002,2.0000200002000022e-09,2,7,6.731467314673147e-05
150,2018-06-14 08:58:06.913412,0.0002,2.0000200002000022e-09,3,33,6.721067210672107e-05
151,2018-06-14 08:58:07.860080,0.0002,2.0000200002000022e-09,4,4,6.720867208672087e-05
152,2018-06-14 08:58:08.803079,0.0002,2.0000200002000022e-09,2,14,6.735667356673567e-05
153,2018-06-14 08:58:09.707080,0.0002,2.0000200002000022e-09,2,29,6.725067250672508e-05
154,2018-06-14 08:58:10.693108,0.0002,2.0000200002000022e-09,2,27,6.735667356673567e-05
155,2018-06-14 08:58:11.518079,0.0002,2.0000200002000022e-09,3,47,6.731467314673147e-05
156,2018-06-14 08:58:12.381079,0.0002,2.0000200002000022e-09,5,14,6.735667356673567e-05
157,2018-06-14 08:58:13.281619,0.0002,2.0000200002000022e-09,8,3,6.731467314673147e-05
158,2018-06-14 08:58:14.146590,0.0002,2.0000200002000022e-09,7,33,6.721067210672107e-05
159,2018-06-14 08:58:15.060406,0.0002,2.0000200002000022e-09,7,36,6.987869878698788e-05
160,2018-06-14 08:58:15.924037,0.0002,2.0000200002000022e-09,1,19,6.727267272672727e-05
161,2018-06-14 08:58:16.790012,0.0002,2.0000200002000022e-09,9,31,6.733667336673368e-05
162,2018-06-14 08:58:17.613009,0.0002,2.0000200002000022e-09,0,46,6.727267272672727e-05
163,2018-06-14 08:58:18.558012,0.0002,2.0000200002000022e-09,0,0,6.733467334673348e-05
164,2018-06-14 08:58:19.422042,0.0002,2.0000200002000022e-09,9,17,6.733467334673348e-05
165,2018-06-14 08:58:20.246042,0.0002,2.0000200002000022e-09,3,13,6.727267272672727e-05
166,2018-06-14 08:58:21.153009,0.0002,2.0000200002000022e-09,1,8,6.733467334673348e-05
167,2018-06-14 08:58:22.021009,0.0002,2.0000200002000022e-09,0,43,6.727267272672727e-05
168,2018-06-14 08:58:22.926162,0.0002,2.0000200002000022e-09,7,37,6.756667566675667e-05
169,2018-06-14 08:58:23.870164,0.0002,2.0000200002000022e-09,2,40,6.731467314673147e-05
170,2018-06-14 08:58:24.747585,0.0002,2.0000200002000022e-09,4,4,6.731467314673147e-05
171,2018-06-14 08:58:25.625356,0.0002,2.0000200002000022e-09,2,41,6.737867378673787e-05
172,2018-06-14 08:58:26.504963,0.0002,2.0000200002000022e-09,9,10,6.758467584675848e-05
173,2018-06-14 08:58:27.392965,0.0002,2.0000200002000022e-09,8,42,6.721067210672107e-05
174,2018-06-14 08:58:28.367307,0.0002,2.0000200002000022e-09,9,27,6.721067210672107e-05
175,2018-06-14 08:58:29.296608,0.0002,2.0000200002000022e-09,6,35,6.721067210672107e-05
176,2018-06-14 08:58:30.198716,0.0002,2.0000200002000022e-09,4,10,6.721067210672107e-05
177,2018-06-14 08:58:31.037323,0.0002,2.0000200002000022e-09,5,11,6.725267252672528e-05
178,2018-06-14 08:58:31.882457,0.0002,2.0000200002000022e-09,9,39,6.756467564675647e-05
179,2018-06-14 08:58:32.771199,0.0002,2.0000200002000022e-09,3,49,6.785667856678567e-05
180,2018-06-14 08:58:33.654492,0.0002,2.0000200002000022e-09,0,31,6.721067210672107e-05
181,2018-06-14 08:58:34.509406,0.0002,2.0000200002000022e-09,3,2,6.993869938699388e-05
182,2018-06-14 08:58:35.357712,0.0002,2.0000200002000022e-09,6,37,6.727467274672747e-05
183,2018-06-14 08:58:36.236271,0.0002,2.0000200002000022e-09,4,47,6.721067210672107e-05
184,2018-06-14 08:58:37.151121,0.0002,2.0000200002000022e-09,5,18,6.725267252672528e-05
185,2018-06-14 08:58:37.997828,0.0002,2.0000200002000022e-09,2,41,6.731267312673127e-05
186,2018-06-14 08:58:38.841628,0.0002,2.0000200002000022e-09,3,17,7.812678126781268e-05
187,2018-06-14 08:58:39.731064,0.0002,2.0000200002000022e-09,7,9,7.812678126781268e-05
