sample,time,window,precision,offset,measured
286,2018-06-07 15:30:53.978002,0.002,2.000002000002e-09,6731,0.0008433368433368434
287,2018-06-07 15:30:56.360951,0.001,1.000001000001e-09,2787,0.0003503933503933504
288,2018-06-07 15:30:58.967420,0.002,2.000002000002e-09,6771,0.0008483208483208483
289,2018-06-07 15:31:01.445993,0.001,1.000001000001e-09,3195,0.00040134840134840134
290,2018-06-07 15:31:03.965013,0.002,2.000002000002e-09,7660,0.0009594489594489595
291,2018-06-07 15:31:06.439583,0.002,2.000002000002e-09,5772,0.0007234747234747235
292,2018-06-07 15:31:07.412490,0.0004,4.0000400004000045e-09,1135,0.00014383743837438376
293,2018-06-07 15:31:09.630266,0.001,1.000001000001e-09,2768,0.0003480433480433481
294,2018-06-07 15:31:11.800785,0.001,1.000001000001e-09,2598,0.00032671232671232673
295,2018-06-07 15:31:14.242983,0.002,2.000002000002e-09,5843,0.0007323307323307323
296,2018-06-07 15:31:16.634048,0.002,2.000002000002e-09,4722,0.0005922245922245922
297,2018-06-07 15:31:19.212209,0.001,1.000001000001e-09,2849,0.00035810535810535814
298,2018-06-07 15:31:21.413985,0.001,1.000001000001e-09,2676,0.00033642733642733644
299,2018-06-07 15:31:23.981183,0.002,2.000002000002e-09,5369,0.0006730586730586731
300,2018-06-07 15:31:26.054848,0.002,2.000002000002e-09,7760,0.0009719169719169719
301,2018-06-07 15:31:28.338131,0.002,2.000002000002e-09,4561,0.0005720805720805721
302,2018-06-07 15:31:29.399308,0.0004,4.0000400004000045e-09,1541,0.0001946179461794618
303,2018-06-07 15:31:30.409469,0.0004,4.0000400004000045e-09,1218,0.00015420554205542057
304,2018-06-07 15:31:32.900800,0.002,2.000002000002e-09,6168,0.000772968772968773
305,2018-06-07 15:31:35.292287,0.002,2.000002000002e-09,7925,0.0009925849925849926
306,2018-06-07 15:31:37.831260,0.002,2.000002000002e-09,6618,0.0008291888291888292
