sample,time,window,precision,modulation,band,react,finish
94,2018-06-07 13:14:01.035524,0.0001,1.001001001001001e-07,8,0,6.806806806806807e-06,5.905905905905906e-05
95,2018-06-07 13:14:01.892394,0.0001,1.001001001001001e-07,9,10,6.806806806806807e-06,5.915915915915916e-05
96,2018-06-07 13:14:02.741029,0.0001,1.001001001001001e-07,6,12,6.9069069069069065e-06,5.915915915915916e-05
97,2018-06-07 13:14:03.596599,0.0001,1.001001001001001e-07,4,13,6.9069069069069065e-06,5.915915915915916e-05
98,2018-06-07 13:14:04.651451,0.0001,1.001001001001001e-07,2,4,6.806806806806807e-06,5.915915915915916e-05
99,2018-06-07 13:14:05.823149,0.0001,1.001001001001001e-07,1,30,6.9069069069069065e-06,5.915915915915916e-05
100,2018-06-07 13:14:07.100345,0.0001,1.001001001001001e-07,1,41,6.806806806806807e-06,5.915915915915916e-05
101,2018-06-07 13:14:07.943803,0.0001,1.001001001001001e-07,9,40,6.806806806806807e-06,5.915915915915916e-05
102,2018-06-07 13:14:09.525508,0.0001,1.001001001001001e-07,0,25,6.806806806806807e-06,5.905905905905906e-05
103,2018-06-07 13:14:10.385614,0.0001,1.001001001001001e-07,5,38,6.806806806806807e-06,5.915915915915916e-05
104,2018-06-07 13:14:11.240982,0.0001,1.001001001001001e-07,4,8,6.9069069069069065e-06,5.915915915915916e-05
105,2018-06-07 13:14:12.080732,0.0001,1.001001001001001e-07,9,49,6.9069069069069065e-06,5.915915915915916e-05
106,2018-06-07 13:14:12.925339,0.0001,1.001001001001001e-07,8,44,6.9069069069069065e-06,5.915915915915916e-05
107,2018-06-07 13:14:14.492320,0.0001,1.001001001001001e-07,0,18,6.806806806806807e-06,5.915915915915916e-05
108,2018-06-07 13:14:15.657938,0.0001,1.001001001001001e-07,1,32,6.806806806806807e-06,5.915915915915916e-05
109,2018-06-07 13:14:16.503091,0.0001,1.001001001001001e-07,5,44,6.806806806806807e-06,5.905905905905906e-05
110,2018-06-07 13:14:17.355484,0.0001,1.001001001001001e-07,5,48,6.806806806806807e-06,5.915915915915916e-05
111,2018-06-07 13:14:18.216751,0.0001,1.001001001001001e-07,6,1,6.806806806806807e-06,5.905905905905906e-05
112,2018-06-07 13:14:19.054977,0.0001,1.001001001001001e-07,5,47,6.806806806806807e-06,5.915915915915916e-05
113,2018-06-07 13:14:20.632165,0.0001,1.001001001001001e-07,0,2,6.9069069069069065e-06,5.915915915915916e-05
114,2018-06-07 13:14:21.577583,0.0001,1.001001001001001e-07,3,0,6.806806806806807e-06,5.905905905905906e-05
115,2018-06-07 13:14:22.851745,0.0001,1.001001001001001e-07,1,20,6.9069069069069065e-06,5.915915915915916e-05
116,2018-06-07 13:14:23.918066,0.0001,1.001001001001001e-07,2,39,6.9069069069069065e-06,5.915915915915916e-05
117,2018-06-07 13:14:25.482216,0.0001,1.001001001001001e-07,0,9,8.808808808808808e-06,6.106106106106106e-05
118,2018-06-07 13:14:26.339038,0.0001,1.001001001001001e-07,8,51,6.9069069069069065e-06,5.915915915915916e-05
119,2018-06-07 13:14:27.399931,0.0001,1.001001001001001e-07,2,35,6.9069069069069065e-06,5.915915915915916e-05
120,2018-06-07 13:14:28.240564,0.0001,1.001001001001001e-07,6,41,6.806806806806807e-06,5.905905905905906e-05
121,2018-06-07 13:14:29.085066,0.0001,1.001001001001001e-07,5,42,6.806806806806807e-06,5.905905905905906e-05
122,2018-06-07 13:14:29.962261,0.0001,1.001001001001001e-07,5,25,6.806806806806807e-06,5.915915915915916e-05
123,2018-06-07 13:14:30.837376,0.0001,1.001001001001001e-07,6,24,6.806806806806807e-06,5.905905905905906e-05
124,2018-06-07 13:14:31.699518,0.0001,1.001001001001001e-07,9,1,6.806806806806807e-06,5.915915915915916e-05
125,2018-06-07 13:14:32.560544,0.0001,1.001001001001001e-07,7,32,6.9069069069069065e-06,5.915915915915916e-05
126,2018-06-07 13:14:33.422656,0.0001,1.001001001001001e-07,7,42,6.806806806806807e-06,5.915915915915916e-05
127,2018-06-07 13:14:34.270505,0.0001,1.001001001001001e-07,5,29,6.806806806806807e-06,5.905905905905906e-05
