sample,time,window,precision,modulation,band,power,payload,measured
459,37:23.2,0.1,2.00E-08,4,24,-2,122,0.047281769
5523,31:52.2,0.2,4.00E-08,3,16,20,251,0.094495579
233,47:05.6,0.4,8.00E-08,2,43,12,206,0.189182918
462,37:41.2,0.002,2.00E-08,9,43,-4,250,0.000623886
3361,58:25.7,0.04,4.00E-08,6,38,18,253,0.014048494
5060,25:20.4,0.04,4.00E-08,5,36,15,224,0.023735704
465,37:48.7,0.02,2.00E-08,7,49,22,77,0.007168727
466,37:51.2,0.02,2.00E-08,7,32,-12,196,0.007170867
467,37:52.6,0.002,2.00E-08,8,42,-4,35,0.000904929
468,38:00.4,0.1,2.00E-08,4,33,17,164,0.047283149
469,38:08.1,0.1,2.00E-08,4,13,13,106,0.047283349
470,38:09.6,0.002,2.00E-08,9,5,-5,122,0.000623846
471,38:10.9,0.002,2.00E-08,8,46,3,97,0.000906169
472,38:39.5,1,5.00E-08,0,41,15,244,0.759870038
473,38:41.1,0.002,2.00E-08,9,20,2,116,0.000625346
474,38:42.5,0.002,2.00E-08,9,14,8,164,0.000624666
475,38:43.8,0.002,2.00E-08,9,5,3,114,0.000624206
5603,44:06.9,0.2,4.00E-08,3,30,2,231,0.094495579
477,38:59.2,0.1,2.00E-08,4,8,12,217,0.047279889
378,17:58.5,0.4,8.00E-08,2,7,8,103,0.189182918
479,39:08.7,0.002,2.00E-08,8,34,9,59,0.000908029
480,39:37.7,1,5.00E-08,0,17,5,54,0.759866838
481,39:45.9,0.1,2.00E-08,4,49,20,103,0.047280209
3541,25:59.5,0.04,4.00E-08,6,46,4,41,0.014048494
6537,14:07.7,0.04,4.00E-08,5,5,21,28,0.023735704
963,52:40.8,0.4,8.00E-08,2,9,0,254,0.189182918
485,40:00.7,0.002,2.00E-08,8,30,-2,246,0.000905569
486,40:08.5,0.1,2.00E-08,4,36,-10,151,0.047280309
1401,59:54.5,0.4,8.00E-08,2,4,19,20,0.189182918
488,40:19.6,0.02,2.00E-08,7,42,19,144,0.007168767
489,40:21.1,0.002,2.00E-08,8,34,7,88,0.000907269
490,40:49.4,1,5.00E-08,0,3,-3,69,0.759867038
491,41:18.6,1,5.00E-08,1,37,-14,44,0.379072769
492,41:48.4,1,5.00E-08,0,36,17,76,0.759868438
2603,04:18.2,0.4,8.00E-08,2,36,22,66,0.189182918
494,41:58.3,0.002,2.00E-08,8,42,14,235,0.000905449
495,42:00.9,0.02,2.00E-08,7,44,-11,112,0.007172547
496,42:03.4,0.02,2.00E-08,7,20,0,111,0.007167927
497,42:04.9,0.002,2.00E-08,8,33,-5,80,0.000906909
498,42:06.3,0.002,2.00E-08,8,1,12,165,0.000906449
3041,12:06.9,0.4,8.00E-08,2,37,13,154,0.189182918
