sample,time,window,precision,offset,measured
195,2018-06-07 14:49:54.093815,0.0001,1.0000010000010001e-10,317,2.082792082792083e-05
196,2018-06-07 14:49:56.495505,0.0002,2.0000020000020002e-10,610,7.820347820347821e-05
197,2018-06-07 14:49:59.034862,0.0002,2.0000020000020002e-10,577,7.412847412847413e-05
198,2018-06-07 14:50:01.156878,0.0002,2.0000020000020002e-10,417,5.405845405845406e-05
199,2018-06-07 14:50:02.137650,3.9999999999999996e-05,4.000040000400004e-10,91,1.3354133541335413e-05
200,2018-06-07 14:50:04.421406,0.0002,2.0000020000020002e-10,484,6.247006247006248e-05
201,2018-06-07 14:50:06.808375,0.0002,2.0000020000020002e-10,572,7.34976734976735e-05
202,2018-06-07 14:50:09.238908,0.0001,1.0000010000010001e-10,389,2.530792530792531e-05
203,2018-06-07 14:50:11.815695,0.0002,2.0000020000020002e-10,506,6.518326518326519e-05
204,2018-06-07 14:50:14.295343,0.0001,1.0000010000010001e-10,385,2.503692503692504e-05
205,2018-06-07 14:50:15.566179,3.9999999999999996e-05,4.000040000400004e-10,109,1.5540555405554054e-05
206,2018-06-07 14:50:17.991745,0.0002,2.0000020000020002e-10,758,9.67050967050967e-05
207,2018-06-07 14:50:20.519796,0.0002,2.0000020000020002e-10,694,8.87024887024887e-05
208,2018-06-07 14:50:22.767453,0.0001,1.0000010000010001e-10,273,1.8027318027318027e-05
209,2018-06-07 14:50:25.348061,0.0002,2.0000020000020002e-10,586,7.518427518427519e-05
210,2018-06-07 14:50:27.508233,0.0002,2.0000020000020002e-10,554,7.121967121967123e-05
211,2018-06-07 14:50:29.969369,0.0002,2.0000020000020002e-10,773,9.858209858209859e-05
212,2018-06-07 14:50:32.375273,0.0001,1.0000010000010001e-10,398,2.5842525842525845e-05
213,2018-06-07 14:50:33.441496,3.9999999999999996e-05,4.000040000400004e-10,84,1.2413724137241372e-05
214,2018-06-07 14:50:35.585594,0.0002,2.0000020000020002e-10,513,6.606866606866607e-05
215,2018-06-07 14:50:37.904150,0.0002,2.0000020000020002e-10,683,8.73968873968874e-05
216,2018-06-07 14:50:40.227790,0.0001,1.0000010000010001e-10,316,2.075042075042075e-05
217,2018-06-07 14:50:42.853211,0.0002,2.0000020000020002e-10,560,7.198727198727199e-05
218,2018-06-07 14:50:45.673492,0.0002,2.0000020000020002e-10,792,0.00010095090095090096
219,2018-06-07 14:50:47.707321,0.0001,1.0000010000010001e-10,278,1.8375418375418378e-05
220,2018-06-07 14:50:48.699788,3.9999999999999996e-05,4.000040000400004e-10,108,1.5420554205542055e-05
221,2018-06-07 14:50:50.897022,0.0001,1.0000010000010001e-10,287,1.8916218916218916e-05
222,2018-06-07 14:50:53.169707,0.0001,1.0000010000010001e-10,285,1.882891882891883e-05
223,2018-06-07 14:50:55.446299,0.0002,2.0000020000020002e-10,735,9.390769390769391e-05
224,2018-06-07 14:50:57.755167,0.0001,1.0000010000010001e-10,175,1.1928311928311929e-05
225,2018-06-07 14:51:00.501798,0.0002,2.0000020000020002e-10,669,8.55840855840856e-05
226,2018-06-07 14:51:03.171570,0.0002,2.0000020000020002e-10,726,9.27002927002927e-05
227,2018-06-07 14:51:05.541817,0.0001,1.0000010000010001e-10,241,1.603791603791604e-05
228,2018-06-07 14:51:07.844666,0.0002,2.0000020000020002e-10,494,6.372866372866373e-05
229,2018-06-07 14:51:10.606450,0.0002,2.0000020000020002e-10,716,9.144229144229145e-05
230,2018-06-07 14:51:12.640890,0.0001,1.0000010000010001e-10,246,1.6371016371016372e-05
231,2018-06-07 14:51:14.930855,0.0001,1.0000010000010001e-10,281,1.8526818526818528e-05
232,2018-06-07 14:51:16.031169,3.9999999999999996e-05,4.000040000400004e-10,111,1.5902159021590215e-05
233,2018-06-07 14:51:18.552826,0.0002,2.0000020000020002e-10,687,8.791128791128792e-05
234,2018-06-07 14:51:20.963490,0.0001,1.0000010000010001e-10,247,1.63982163982164e-05
235,2018-06-07 14:51:21.992308,3.9999999999999996e-05,4.000040000400004e-10,119,1.6868568685686858e-05
236,2018-06-07 14:51:24.559071,0.0002,2.0000020000020002e-10,486,6.276006276006276e-05
237,2018-06-07 14:51:26.828112,0.0001,1.0000010000010001e-10,336,2.1972921972921974e-05
238,2018-06-07 14:51:29.127314,0.0002,2.0000020000020002e-10,679,8.682228682228683e-05
239,2018-06-07 14:51:31.559666,0.0002,2.0000020000020002e-10,681,8.713588713588714e-05
240,2018-06-07 14:51:34.243157,0.0002,2.0000020000020002e-10,403,5.2409252409252414e-05
241,2018-06-07 14:51:35.208740,3.9999999999999996e-05,4.000040000400004e-10,155,2.140941409414094e-05
242,2018-06-07 14:51:37.568612,0.0002,2.0000020000020002e-10,524,6.743326743326744e-05
243,2018-06-07 14:51:39.648537,0.0002,2.0000020000020002e-10,463,5.980465980465981e-05
244,2018-06-07 14:51:42.231245,0.0001,1.0000010000010001e-10,233,1.5527415527415528e-05
245,2018-06-07 14:51:44.423530,0.0002,2.0000020000020002e-10,685,8.761148761148762e-05
246,2018-06-07 14:51:46.396702,0.0002,2.0000020000020002e-10,605,7.754287754287755e-05
247,2018-06-07 14:51:48.366764,0.0002,2.0000020000020002e-10,539,6.930546930546931e-05
248,2018-06-07 14:51:50.596439,0.0002,2.0000020000020002e-10,477,6.159346159346159e-05
249,2018-06-07 14:51:52.752733,0.0002,2.0000020000020002e-10,667,8.533948533948535e-05
250,2018-06-07 14:51:54.784936,0.0001,1.0000010000010001e-10,360,2.350662350662351e-05
