sample,time,window,precision,modulation,band,power,payload,tx2txdone
132,2018-06-05 13:32:44.035963,0.1,1.000001000001e-07,7,9,7,61,0.038931038931038935
133,2018-06-05 13:33:03.159479,4.0,8.00000160000032e-07,1,10,-2,82,1.8392987678597537
134,2018-06-05 13:33:04.506477,0.02,2.0000200002000021e-07,9,17,20,175,0.007754477544775448
135,2018-06-05 13:33:17.694753,1.0,2.00000040000008e-07,1,6,19,13,0.6105123221024644
136,2018-06-05 13:33:29.956752,1.0,2.00000040000008e-07,3,30,21,30,0.23470524694104938
137,2018-06-05 13:33:33.154749,0.1,1.000001000001e-07,7,2,20,39,0.027410927410927412
138,2018-06-05 13:34:57.408118,20.0,1.0000000500000025e-06,0,9,-1,200,7.282832364141618
139,2018-06-05 13:35:00.844108,0.4,4.000004000004e-07,7,40,22,229,0.1246909246909247
140,2018-06-05 13:35:13.150117,1.0,2.00000040000008e-07,5,15,13,202,0.3199526639905328
141,2018-06-05 13:35:14.434149,0.02,2.0000200002000021e-07,8,22,8,132,0.00952629526295263
142,2018-06-05 13:35:26.691200,1.0,2.00000040000008e-07,4,31,13,107,0.3222566644513329
143,2018-06-05 13:35:27.963200,0.04,4.0000400004000043e-07,8,45,10,178,0.012470124701247013
144,2018-06-05 13:35:29.129200,0.01,1.0000100001000011e-07,9,44,17,108,0.005074850748507486
145,2018-06-05 13:36:53.237146,20.0,1.0000000500000025e-06,0,22,17,198,7.1189943559497175
146,2018-06-05 13:37:12.643393,4.0,8.00000160000032e-07,0,37,22,35,1.876162775232555
147,2018-06-05 13:37:31.044461,4.0,8.00000160000032e-07,3,31,0,209,1.0538978107795622
148,2018-06-05 13:38:32.173469,10.0,5.000000250000012e-07,1,35,17,189,3.8053611902680595
149,2018-06-05 13:38:35.763452,0.4,4.000004000004e-07,7,16,4,217,0.11829011829011829
150,2018-06-05 13:38:51.054574,2.0,4.00000080000016e-07,3,6,19,113,0.6033417206683441
151,2018-06-05 13:38:52.345575,0.01,1.0000100001000011e-07,8,21,9,62,0.005047650476504765
152,2018-06-05 13:38:55.422577,0.2,2.000002000002e-07,7,1,22,133,0.07477147477147478
153,2018-06-05 13:39:08.144577,1.0,2.00000040000008e-07,6,16,-2,238,0.21589064317812864
154,2018-06-05 13:39:11.573577,0.2,2.000002000002e-07,7,30,-3,163,0.09013049013049014
155,2018-06-05 13:40:12.626973,10.0,5.000000250000012e-07,0,15,14,63,2.695354134767707
156,2018-06-05 13:40:27.157973,2.0,4.00000080000016e-07,3,12,21,137,0.7262205452441091
157,2018-06-05 13:41:29.976488,10.0,5.000000250000012e-07,0,43,3,62,2.6953546347677317
158,2018-06-05 13:41:45.064454,2.0,4.00000080000016e-07,3,51,19,114,0.6033417206683441
159,2018-06-05 13:41:57.553496,1.0,2.00000040000008e-07,5,1,6,140,0.2277932455586491
160,2018-06-05 13:42:09.562491,1.0,2.00000040000008e-07,4,1,21,154,0.4451348890269778
161,2018-06-05 13:42:27.891943,4.0,8.00000160000032e-07,1,41,15,93,2.0850564170112835
