sample,time,window,precision,modulation,band,power,payload,measured
386,34:02.2,0.1,1.00E-07,3,28,-3,0,0.06992287
387,34:06.1,0.1,1.00E-07,3,16,10,13,0.06992277
388,34:10.0,0.04,4.00E-08,5,37,-11,8,0.017596778
389,34:14.1,0.04,4.00E-08,5,19,13,0,0.017595658
321,31:04.8,0.01,1.00E-07,7,8,6,5,
391,34:17.1,0.001,1.00E-07,9,29,-10,12,0.000384338
348,32:18.9,0.01,1.00E-07,7,40,3,4,
393,34:22.8,0.04,4.00E-08,5,42,19,17,0.017596498
394,34:26.8,0.04,4.00E-08,5,43,4,2,0.017598258
395,34:28.3,0.001,1.00E-07,9,17,-2,1,0.000385839
360,32:50.0,0.01,1.00E-07,7,51,7,13,
397,34:33.8,0.04,4.00E-08,5,47,15,10,0.017594698
374,33:27.1,0.01,1.00E-07,7,49,-7,7,
