sample,time,window,precision,modulation,band,preamble,offset,valid
229,2018-06-14 17:15:35.228708,2.0,2.000020000200002e-05,0,18,4,5378656,False
230,2018-06-14 17:15:41.087082,2.0,2.000020000200002e-05,0,4,6,2908534,True
231,2018-06-14 17:15:42.836266,0.4,4.0004000400040005e-05,3,21,9,272767,True
232,2018-06-14 17:15:44.270825,0.1,1.0001000100010001e-05,5,42,6,115248,True
233,2018-06-14 17:15:45.805599,0.2,2.0002000200020003e-05,4,6,4,164319,True
234,2018-06-14 17:15:47.330522,0.2,2.0002000200020003e-05,4,7,5,300109,True
235,2018-06-14 17:15:50.617504,1.0,1.000010000100001e-05,2,37,7,1247206,True
236,2018-06-14 17:15:53.926348,1.0,1.000010000100001e-05,1,31,6,513914,False
237,2018-06-14 17:16:04.847961,4.0,4.000040000400004e-05,0,20,11,6269163,True
238,2018-06-14 17:16:06.388823,0.2,2.0002000200020003e-05,4,41,4,303682,True
239,2018-06-14 17:16:07.827107,0.1,1.0001000100010001e-05,5,30,12,13754,False
240,2018-06-14 17:16:09.257535,0.1,1.0001000100010001e-05,7,26,11,46719,True
241,2018-06-14 17:16:10.806026,0.2,2.0002000200020003e-05,5,21,11,146402,True
242,2018-06-14 17:16:14.166538,1.0,1.000010000100001e-05,1,27,6,949702,True
243,2018-06-14 17:16:15.584717,0.04,4.004004004004004e-05,9,15,6,3636,True
244,2018-06-14 17:16:16.910274,0.04,4.004004004004004e-05,8,29,5,2438,True
245,2018-06-14 17:16:18.354244,0.1,1.0001000100010001e-05,5,34,6,114902,True
246,2018-06-14 17:16:19.783006,0.1,1.0001000100010001e-05,5,4,10,120144,True
247,2018-06-14 17:16:25.656002,2.0,2.000020000200002e-05,0,32,3,2412244,True
248,2018-06-14 17:16:36.667940,4.0,4.000040000400004e-05,0,16,12,7783963,False
249,2018-06-14 17:16:38.039611,0.04,4.004004004004004e-05,8,19,12,7069,True
250,2018-06-14 17:16:39.494654,0.1,1.0001000100010001e-05,5,20,12,119427,True
251,2018-06-14 17:16:45.367069,2.0,2.000020000200002e-05,1,23,8,3700638,False
