sample,time,window,precision,modulation,band,power,payload,tx2txdone
190,2018-06-06 22:07:06.929928,10.0,5.000000250000012e-07,0,26,7,110,4.333734216686711
191,2018-06-06 22:07:43.228456,4.0,2.000000100000005e-07,3,19,-2,247,
192,2018-06-06 22:08:17.749883,0.04,4.000004000004e-08,9,24,18,254,
193,2018-06-06 22:08:19.966423,0.02,2.000002000002e-08,8,35,10,109,0.008118408118408119
194,2018-06-06 22:08:27.079277,0.4,8.000001600000321e-08,5,35,-2,74,0.13563210712642143
195,2018-06-06 22:08:34.093301,0.2,4.0000008000001605e-08,6,18,4,78,0.08276873655374732
196,2018-06-06 22:08:41.320551,0.2,4.0000008000001605e-08,6,47,1,81,0.08532885706577142
197,2018-06-06 22:09:53.465193,20.0,1.0000000500000025e-06,0,33,4,127,4.989088249454412
198,2018-06-06 22:09:55.728183,0.04,4.000004000004e-08,8,39,9,195,0.013620453620453622
199,2018-06-06 22:09:57.862631,0.04,4.000004000004e-08,8,18,20,209,0.014516694516694517
200,2018-06-06 22:10:05.104181,0.4,8.000001600000321e-08,5,30,20,98,0.17147179429435888
201,2018-06-06 22:10:30.870622,1.0,5.0000002500000126e-08,3,42,9,49,0.33710186685509336
202,2018-06-06 22:10:38.299615,0.2,4.0000008000001605e-08,6,5,17,78,0.08276821655364332
203,2018-06-06 22:10:40.447766,0.02,2.000002000002e-08,9,16,1,189,0.008352888352888353
204,2018-06-06 22:11:06.236662,1.0,5.0000002500000126e-08,5,1,7,169,0.27387041369352066
205,2018-06-06 22:11:08.356131,0.01,1.000001000001e-08,9,2,2,54,0.002953022953022953
206,2018-06-06 22:11:41.953405,4.0,2.000000100000005e-07,1,16,16,44,1.183941259197063
207,2018-06-06 22:11:49.265397,0.2,4.0000008000001605e-08,7,2,1,149,0.0850084570016914
208,2018-06-06 22:11:56.741615,0.4,8.000001600000321e-08,7,24,13,180,0.10037010007402003
209,2018-06-06 22:11:58.979748,0.02,2.000002000002e-08,9,33,20,144,0.006552306552306553
210,2018-06-06 22:12:27.498503,2.0,1.0000000500000025e-07,3,24,1,171,0.8900562445028123
211,2018-06-06 22:12:34.651028,0.4,8.000001600000321e-08,7,30,3,187,0.10420802084160419
212,2018-06-06 22:13:00.777459,1.0,5.0000002500000126e-08,3,22,-3,81,0.4804603740230187
213,2018-06-06 22:13:31.694261,0.04,4.000004000004e-08,8,40,4,247,
214,2018-06-06 22:14:04.986935,2.0,1.0000000500000025e-07,4,21,-1,249,
215,2018-06-06 22:14:09.188372,0.04,4.000004000004e-08,6,19,13,5,0.02132894132894133
216,2018-06-06 22:14:11.251031,0.01,1.000001000001e-08,8,41,5,51,0.004404364404364405
217,2018-06-06 22:14:18.275380,0.1,2.0000004000000802e-08,7,23,1,70,0.044048608809721765
218,2018-06-06 22:14:46.649624,2.0,1.0000000500000025e-07,1,31,17,33,1.0201030510051525
219,2018-06-06 22:15:13.294795,1.0,5.0000002500000126e-08,3,44,3,44,0.2961425148071257
220,2018-06-06 22:15:39.480036,1.0,5.0000002500000126e-08,5,50,-3,214,0.34043066702153335
221,2018-06-06 22:16:10.401363,0.04,4.000004000004e-08,8,36,-3,244,
222,2018-06-06 22:16:36.481843,1.0,5.0000002500000126e-08,4,51,9,65,0.21985491099274557
223,2018-06-06 22:17:02.817153,1.0,5.0000002500000126e-08,5,21,21,182,0.29435026471751324
224,2018-06-06 22:17:10.055933,0.4,8.000001600000321e-08,7,25,-3,194,0.10804970160994033
225,2018-06-06 22:17:58.687189,10.0,5.000000250000012e-07,1,20,6,175,3.559597677979884
226,2018-06-06 22:18:00.946300,0.01,1.000001000001e-08,9,12,20,94,0.004554614554614555
227,2018-06-06 22:18:08.417411,0.4,8.000001600000321e-08,4,36,5,30,0.12769578553915711
228,2018-06-06 22:18:56.660626,10.0,5.000000250000012e-07,1,5,22,120,2.576567628828381
229,2018-06-06 22:19:22.925408,1.0,5.0000002500000126e-08,5,18,9,211,0.3353097167654858
230,2018-06-06 22:19:25.216560,0.04,4.000004000004e-08,8,14,4,211,0.014645494645494646
231,2018-06-06 22:19:51.957852,1.0,5.0000002500000126e-08,6,10,17,212,0.197968559898428
232,2018-06-06 22:19:54.233420,0.02,2.000002000002e-08,9,4,13,111,0.005232285232285232
233,2018-06-06 22:20:22.999339,2.0,1.0000000500000025e-07,4,22,6,172,0.49633312481665626
234,2018-06-06 22:21:11.029469,10.0,5.000000250000012e-07,0,21,6,105,4.16989720849486
235,2018-06-06 22:22:11.364651,20.0,1.0000000500000025e-06,1,8,6,243,
236,2018-06-06 22:22:36.569712,0.4,8.000001600000321e-08,5,17,2,97,0.17147147429429488
237,2018-06-06 22:23:24.569992,10.0,5.000000250000012e-07,0,28,13,93,3.8422196921109846
238,2018-06-06 22:23:25.666682,0.004,4.000040000400004e-08,9,43,1,9,0.0011522915229152293
239,2018-06-06 22:23:32.823183,0.4,8.000001600000321e-08,4,47,12,33,0.13793578758715752
240,2018-06-06 22:23:35.059571,0.04,4.000004000004e-08,8,46,21,228,0.015732135732135732
241,2018-06-06 22:24:08.442711,4.0,2.000000100000005e-07,2,0,8,185,1.7389440869472044
242,2018-06-06 22:24:42.296031,4.0,2.000000100000005e-07,2,2,9,169,1.575105478755274
243,2018-06-06 22:25:16.205006,4.0,2.000000100000005e-07,2,47,6,168,1.575106478755324
244,2018-06-06 22:25:49.951656,4.0,2.000000100000005e-07,2,18,9,199,1.8208630910431547
245,2018-06-06 22:26:21.751028,1.0,5.0000002500000126e-08,5,8,-2,250,
246,2018-06-06 22:26:56.593806,4.0,2.000000100000005e-07,2,8,2,126,1.2474296623714831
247,2018-06-06 22:27:04.406850,0.4,8.000001600000321e-08,7,39,3,234,0.12852794570558915
248,2018-06-06 22:27:39.099275,2.0,1.0000000500000025e-07,3,26,20,95,0.5418998270949914
249,2018-06-06 22:27:46.604183,0.4,8.000001600000321e-08,7,27,3,191,0.10676802135360429
250,2018-06-06 22:28:20.284369,4.0,2.000000100000005e-07,3,12,22,185,0.9514978475748924
251,2018-06-06 22:28:54.652741,4.0,2.000000100000005e-07,1,37,21,63,1.5116188755809439
252,2018-06-06 22:29:29.139838,4.0,2.000000100000005e-07,2,21,-3,98,1.0016716500835825
253,2018-06-06 22:29:56.290583,1.0,5.0000002500000126e-08,1,7,12,6,0.5285881264294063
254,2018-06-06 22:30:22.772236,1.0,5.0000002500000126e-08,4,17,8,149,0.4348929717446486
255,2018-06-06 22:30:49.139701,1.0,5.0000002500000126e-08,3,16,-1,46,0.3166226658311333
256,2018-06-06 22:31:23.256224,4.0,2.000000100000005e-07,1,2,1,49,1.2658606632930332
257,2018-06-06 22:31:25.486219,0.02,2.000002000002e-08,9,34,0,207,0.009072269072269074
