sample,time,window,precision,modulation,band,payload,measured
125,2018-06-07 10:54:05.620284,0.002,2.000020000200002e-08,1,34,254,0.0005279252792527926
126,2018-06-07 10:54:06.491180,0.002,2.000020000200002e-08,4,21,254,0.0005305253052530526
127,2018-06-07 10:54:07.352786,0.002,2.000020000200002e-08,2,22,254,0.0005293452934529346
128,2018-06-07 10:54:08.230035,0.002,2.000020000200002e-08,3,35,254,0.0005294452944529446
129,2018-06-07 10:54:09.103166,0.002,2.000020000200002e-08,6,35,254,0.0005260852608526085
130,2018-06-07 10:54:10.049674,0.002,2.000020000200002e-08,4,4,254,0.0005268852688526885
131,2018-06-07 10:54:10.922929,0.002,2.000020000200002e-08,2,28,254,0.0005268852688526885
132,2018-06-07 10:54:11.831847,0.002,2.000020000200002e-08,9,3,254,0.0004877448774487745
133,2018-06-07 10:54:12.684470,0.002,2.000020000200002e-08,6,49,254,0.0005313053130531305
134,2018-06-07 10:54:13.546841,0.002,2.000020000200002e-08,6,9,254,0.0005387653876538765
135,2018-06-07 10:54:14.457857,0.002,2.000020000200002e-08,1,29,254,0.0005295052950529506
136,2018-06-07 10:54:15.362699,0.002,2.000020000200002e-08,2,15,254,0.0005312653126531265
137,2018-06-07 10:54:16.296474,0.002,2.000020000200002e-08,8,27,254,0.00048442484424844254
138,2018-06-07 10:54:17.171189,0.002,2.000020000200002e-08,9,33,254,0.0004845048450484505
139,2018-06-07 10:54:18.044575,0.002,2.000020000200002e-08,8,16,254,0.0004966449664496645
140,2018-06-07 10:54:18.920916,0.002,2.000020000200002e-08,1,31,254,0.0005278252782527826
141,2018-06-07 10:54:19.790382,0.002,2.000020000200002e-08,2,43,254,0.0005269252692526925
142,2018-06-07 10:54:20.658925,0.002,2.000020000200002e-08,5,35,254,0.0005345853458534586
143,2018-06-07 10:54:21.518190,0.002,2.000020000200002e-08,2,38,254,0.0005294852948529486
144,2018-06-07 10:54:22.415624,0.002,2.000020000200002e-08,0,23,254,0.0005278852788527886
145,2018-06-07 10:54:23.316774,0.002,2.000020000200002e-08,0,19,254,0.0005303053030530306
146,2018-06-07 10:54:24.215374,0.002,2.000020000200002e-08,3,33,254,0.0005268452684526845
147,2018-06-07 10:54:25.117178,0.002,2.000020000200002e-08,6,15,254,0.0005315253152531526
148,2018-06-07 10:54:25.986423,0.002,2.000020000200002e-08,3,2,254,0.0005293852938529386
149,2018-06-07 10:54:26.848298,0.002,2.000020000200002e-08,5,18,254,0.0005278652786527866
150,2018-06-07 10:54:27.717111,0.002,2.000020000200002e-08,7,19,254,0.0005295452954529546
151,2018-06-07 10:54:28.658263,0.002,2.000020000200002e-08,9,10,254,0.0004855048550485505
152,2018-06-07 10:54:29.561108,0.002,2.000020000200002e-08,9,25,254,0.0004853448534485345
153,2018-06-07 10:54:30.464998,0.002,2.000020000200002e-08,6,0,254,0.0005268652686526865
154,2018-06-07 10:54:31.320954,0.002,2.000020000200002e-08,0,50,254,0.0005279252792527926
155,2018-06-07 10:54:32.186352,0.002,2.000020000200002e-08,9,27,254,0.0004844848448484485
156,2018-06-07 10:54:33.053378,0.002,2.000020000200002e-08,3,29,254,0.0005268452684526845
157,2018-06-07 10:54:33.988062,0.002,2.000020000200002e-08,8,2,254,0.0004879248792487925
158,2018-06-07 10:54:34.966280,0.002,2.000020000200002e-08,2,39,254,0.0005260452604526045
159,2018-06-07 10:54:35.834121,0.002,2.000020000200002e-08,6,0,254,0.0005278452784527846
160,2018-06-07 10:54:36.703752,0.002,2.000020000200002e-08,3,0,254,0.0005268452684526845
161,2018-06-07 10:54:37.648884,0.002,2.000020000200002e-08,8,13,254,0.00048522485224852254
162,2018-06-07 10:54:38.521233,0.002,2.000020000200002e-08,3,38,254,0.0005279452794527946
163,2018-06-07 10:54:39.383650,0.002,2.000020000200002e-08,2,45,254,0.0005296052960529605
164,2018-06-07 10:54:40.296960,0.002,2.000020000200002e-08,3,48,254,0.0005268252682526825
165,2018-06-07 10:54:41.154517,0.002,2.000020000200002e-08,9,38,254,0.00048518485184851853
166,2018-06-07 10:54:42.061953,0.002,2.000020000200002e-08,1,31,254,0.0005268452684526845
167,2018-06-07 10:54:42.925182,0.002,2.000020000200002e-08,3,29,254,0.0005268852688526885
168,2018-06-07 10:54:43.792906,0.002,2.000020000200002e-08,3,32,254,0.0005260052600526006
169,2018-06-07 10:54:44.655597,0.002,2.000020000200002e-08,1,9,254,0.0005285452854528546
170,2018-06-07 10:54:45.557078,0.002,2.000020000200002e-08,3,13,254,0.0005260252602526025
171,2018-06-07 10:54:46.421761,0.002,2.000020000200002e-08,3,0,254,0.0005253252532525325
172,2018-06-07 10:54:47.329520,0.002,2.000020000200002e-08,1,22,254,0.0005293652936529366
173,2018-06-07 10:54:48.177114,0.002,2.000020000200002e-08,6,30,254,0.0005386653866538666
174,2018-06-07 10:54:49.076649,0.002,2.000020000200002e-08,7,46,254,0.0005303053030530306
175,2018-06-07 10:54:49.951189,0.002,2.000020000200002e-08,7,21,254,0.0005386453864538646
176,2018-06-07 10:54:50.863078,0.002,2.000020000200002e-08,8,29,254,0.0004877048770487705
177,2018-06-07 10:54:51.737118,0.002,2.000020000200002e-08,0,3,254,0.0005319453194531946
178,2018-06-07 10:54:52.612094,0.002,2.000020000200002e-08,7,42,254,0.0005285452854528546
179,2018-06-07 10:54:53.523174,0.002,2.000020000200002e-08,6,48,254,0.0005294052940529406
180,2018-06-07 10:54:54.429835,0.002,2.000020000200002e-08,0,6,254,0.0005268252682526825
181,2018-06-07 10:54:55.305200,0.002,2.000020000200002e-08,1,35,254,0.0005278452784527846
182,2018-06-07 10:54:56.171119,0.002,2.000020000200002e-08,4,41,254,0.0005268652686526865
183,2018-06-07 10:54:57.035671,0.002,2.000020000200002e-08,0,14,254,0.0005320653206532065
184,2018-06-07 10:54:57.927790,0.002,2.000020000200002e-08,9,0,254,0.00048440484404844053
185,2018-06-07 10:54:58.789509,0.002,2.000020000200002e-08,5,40,254,0.0005293452934529346
186,2018-06-07 10:54:59.657263,0.002,2.000020000200002e-08,6,44,254,0.0005303453034530346
187,2018-06-07 10:55:00.646296,0.002,2.000020000200002e-08,8,11,254,0.0004954449544495445
188,2018-06-07 10:55:01.503008,0.002,2.000020000200002e-08,8,40,254,0.0004887448874488745
189,2018-06-07 10:55:02.372318,0.002,2.000020000200002e-08,1,27,254,0.0005294252942529426
190,2018-06-07 10:55:03.281260,0.002,2.000020000200002e-08,1,41,254,0.0005268052680526805
191,2018-06-07 10:55:04.183740,0.002,2.000020000200002e-08,7,35,254,0.0005279052790527906
192,2018-06-07 10:55:05.081872,0.002,2.000020000200002e-08,6,6,254,0.0005269052690526905
193,2018-06-07 10:55:05.995861,0.002,2.000020000200002e-08,8,8,254,0.00048442484424844254
194,2018-06-07 10:55:06.901624,0.002,2.000020000200002e-08,8,3,254,0.0004845048450484505
195,2018-06-07 10:55:07.796602,0.002,2.000020000200002e-08,6,45,254,0.0005261052610526105
196,2018-06-07 10:55:08.688620,0.002,2.000020000200002e-08,6,14,254,0.0005386853868538686
197,2018-06-07 10:55:09.586815,0.002,2.000020000200002e-08,0,8,254,0.0005269052690526905
198,2018-06-07 10:55:10.485518,0.002,2.000020000200002e-08,5,14,254,0.0005294652946529466
199,2018-06-07 10:55:11.378759,0.002,2.000020000200002e-08,7,47,254,0.0005268452684526845
200,2018-06-07 10:55:12.269907,0.002,2.000020000200002e-08,1,23,254,0.0005252452524525245
201,2018-06-07 10:55:13.174924,0.002,2.000020000200002e-08,4,39,254,0.0005268252682526825
202,2018-06-07 10:55:14.043226,0.002,2.000020000200002e-08,7,46,254,0.0005268652686526865
203,2018-06-07 10:55:14.914704,0.002,2.000020000200002e-08,1,29,254,0.0005268652686526865
