sample,time,window,precision,modulation,band,rx2rf
160,2018-05-31 18:47:54.654141,0.0004,4.0000400004000045e-09,6,50,8.52768527685277e-05
161,2018-05-31 18:47:55.791141,0.0004,4.0000400004000045e-09,2,13,8.52888528885289e-05
162,2018-05-31 18:47:56.776146,0.0004,4.0000400004000045e-09,0,23,8.525285252852529e-05
163,2018-05-31 18:47:57.761154,0.0004,4.0000400004000045e-09,6,22,8.52288522885229e-05
164,2018-05-31 18:47:58.626141,0.0004,4.0000400004000045e-09,6,26,8.525685256852569e-05
165,2018-05-31 18:47:59.648143,0.0004,4.0000400004000045e-09,0,30,8.52328523285233e-05
166,2018-05-31 18:48:00.708141,0.0004,4.0000400004000045e-09,1,33,8.521285212852129e-05
167,2018-05-31 18:48:01.646151,0.0004,4.0000400004000045e-09,3,37,8.52408524085241e-05
168,2018-05-31 18:48:02.588174,0.0004,4.0000400004000045e-09,8,10,8.50328503285033e-05
169,2018-05-31 18:48:03.566703,0.0004,4.0000400004000045e-09,3,10,8.52808528085281e-05
170,2018-05-31 18:48:04.515701,0.0004,4.0000400004000045e-09,3,49,8.526485264852649e-05
171,2018-05-31 18:48:05.616702,0.0004,4.0000400004000045e-09,9,49,8.505685056850569e-05
172,2018-05-31 18:48:06.676701,0.0004,4.0000400004000045e-09,9,50,8.506485064850649e-05
173,2018-05-31 18:48:07.622703,0.0004,4.0000400004000045e-09,8,5,8.501685016850169e-05
174,2018-05-31 18:48:08.605703,0.0004,4.0000400004000045e-09,8,15,8.501285012850129e-05
175,2018-05-31 18:48:09.504703,0.0004,4.0000400004000045e-09,4,17,8.52448524485245e-05
176,2018-05-31 18:48:10.483702,0.0004,4.0000400004000045e-09,9,8,8.49688496884969e-05
177,2018-05-31 18:48:11.549702,0.0004,4.0000400004000045e-09,9,27,8.505285052850529e-05
178,2018-05-31 18:48:12.536704,0.0004,4.0000400004000045e-09,2,44,8.53208532085321e-05
179,2018-05-31 18:48:13.553703,0.0004,4.0000400004000045e-09,5,8,8.526485264852649e-05
