sample,time,window,precision,modulation,band,payload,measured
175,2018-06-07 11:12:53.659633,0.002,2.000020000200002e-08,3,45,254,0.0005303653036530366
176,2018-06-07 11:12:54.608707,0.002,2.000020000200002e-08,3,34,254,0.0005275652756527566
177,2018-06-07 11:12:55.553240,0.002,2.000020000200002e-08,5,13,254,0.0005293252932529325
178,2018-06-07 11:12:56.503049,0.002,2.000020000200002e-08,0,41,254,0.0005279252792527926
179,2018-06-07 11:12:57.409961,0.002,2.000020000200002e-08,6,44,254,0.0005293652936529366
180,2018-06-07 11:12:58.356619,0.002,2.000020000200002e-08,2,15,254,0.0005287052870528706
181,2018-06-07 11:12:59.219917,0.002,2.000020000200002e-08,2,44,254,0.0005275452754527546
182,2018-06-07 11:13:00.123415,0.002,2.000020000200002e-08,1,15,254,0.0005276052760527605
183,2018-06-07 11:13:00.984451,0.002,2.000020000200002e-08,8,48,254,0.0004878648786487865
184,2018-06-07 11:13:01.924168,0.002,2.000020000200002e-08,1,45,254,0.0005276052760527605
185,2018-06-07 11:13:02.907173,0.002,2.000020000200002e-08,7,21,254,0.0005279652796527966
186,2018-06-07 11:13:03.850779,0.002,2.000020000200002e-08,7,43,254,0.0005303053030530306
187,2018-06-07 11:13:04.716999,0.002,2.000020000200002e-08,7,14,254,0.0005304053040530405
188,2018-06-07 11:13:05.583192,0.002,2.000020000200002e-08,5,5,254,0.0005302853028530286
189,2018-06-07 11:13:06.533355,0.002,2.000020000200002e-08,1,41,254,0.0005293452934529346
190,2018-06-07 11:13:07.392074,0.002,2.000020000200002e-08,0,45,254,0.0005275652756527566
191,2018-06-07 11:13:08.329632,0.002,2.000020000200002e-08,0,24,254,0.0005303653036530366
192,2018-06-07 11:13:09.202497,0.002,2.000020000200002e-08,7,24,254,0.0005303853038530386
193,2018-06-07 11:13:10.086672,0.002,2.000020000200002e-08,6,1,254,0.0005279052790527906
194,2018-06-07 11:13:10.997764,0.002,2.000020000200002e-08,2,21,254,0.0005275852758527586
195,2018-06-07 11:13:11.899963,0.002,2.000020000200002e-08,7,1,254,0.0005268252682526825
196,2018-06-07 11:13:12.811124,0.002,2.000020000200002e-08,5,42,254,0.0005269652696526966
197,2018-06-07 11:13:13.685920,0.002,2.000020000200002e-08,0,12,254,0.0005275452754527546
198,2018-06-07 11:13:14.564232,0.002,2.000020000200002e-08,3,2,254,0.0005293452934529346
199,2018-06-07 11:13:15.479099,0.002,2.000020000200002e-08,0,36,254,0.0005280652806528065
200,2018-06-07 11:13:16.349471,0.002,2.000020000200002e-08,2,37,254,0.0005304053040530405
201,2018-06-07 11:13:17.264802,0.002,2.000020000200002e-08,0,21,254,0.0005268252682526825
202,2018-06-07 11:13:18.137999,0.002,2.000020000200002e-08,7,29,254,0.0005304053040530405
203,2018-06-07 11:13:19.048588,0.002,2.000020000200002e-08,5,0,254,0.0005303853038530386
204,2018-06-07 11:13:19.917450,0.002,2.000020000200002e-08,9,10,254,0.0004847048470484705
205,2018-06-07 11:13:20.831633,0.002,2.000020000200002e-08,4,38,254,0.0005276052760527605
206,2018-06-07 11:13:21.704304,0.002,2.000020000200002e-08,3,32,254,0.0005287452874528746
207,2018-06-07 11:13:22.623594,0.002,2.000020000200002e-08,0,15,254,0.0005286852868528686
208,2018-06-07 11:13:23.543132,0.002,2.000020000200002e-08,4,10,254,0.0005268852688526885
209,2018-06-07 11:13:24.426639,0.002,2.000020000200002e-08,1,2,254,0.0005302853028530286
210,2018-06-07 11:13:25.335883,0.002,2.000020000200002e-08,3,48,254,0.0005287052870528706
211,2018-06-07 11:13:26.206380,0.002,2.000020000200002e-08,3,9,254,0.0005303053030530306
212,2018-06-07 11:13:27.076024,0.002,2.000020000200002e-08,7,22,254,0.0005303853038530386
213,2018-06-07 11:13:27.976223,0.002,2.000020000200002e-08,1,5,254,0.0005303653036530366
214,2018-06-07 11:13:28.839977,0.002,2.000020000200002e-08,4,28,254,0.0005278452784527846
215,2018-06-07 11:13:29.744375,0.002,2.000020000200002e-08,1,21,254,0.0005287052870528706
216,2018-06-07 11:13:30.616189,0.002,2.000020000200002e-08,9,17,254,0.0004878448784487845
217,2018-06-07 11:13:31.611194,0.002,2.000020000200002e-08,5,42,254,0.0005268252682526825
218,2018-06-07 11:13:32.554187,0.002,2.000020000200002e-08,0,49,254,0.0005401454014540146
219,2018-06-07 11:13:33.414828,0.002,2.000020000200002e-08,4,44,254,0.0005293652936529366
220,2018-06-07 11:13:34.286542,0.002,2.000020000200002e-08,5,28,254,0.0005302853028530286
221,2018-06-07 11:13:35.167348,0.002,2.000020000200002e-08,1,50,254,0.0005303653036530366
222,2018-06-07 11:13:36.085393,0.002,2.000020000200002e-08,8,32,254,0.00048342483424834254
223,2018-06-07 11:13:36.969991,0.002,2.000020000200002e-08,0,16,254,0.0005287452874528746
224,2018-06-07 11:13:37.839699,0.002,2.000020000200002e-08,5,18,254,0.0005293652936529366
225,2018-06-07 11:13:38.741409,0.002,2.000020000200002e-08,3,38,254,0.0005279252792527926
226,2018-06-07 11:13:39.653607,0.002,2.000020000200002e-08,8,43,254,0.0004878648786487865
227,2018-06-07 11:13:40.560191,0.002,2.000020000200002e-08,7,20,254,0.0005293252932529325
228,2018-06-07 11:13:41.432182,0.002,2.000020000200002e-08,4,4,254,0.0005275652756527566
229,2018-06-07 11:13:42.313192,0.002,2.000020000200002e-08,2,47,254,0.0005268852688526885
230,2018-06-07 11:13:43.195882,0.002,2.000020000200002e-08,4,28,254,0.0005302853028530286
231,2018-06-07 11:13:44.081359,0.002,2.000020000200002e-08,8,12,254,0.00048522485224852254
232,2018-06-07 11:13:45.047997,0.002,2.000020000200002e-08,5,5,254,0.0005293252932529325
233,2018-06-07 11:13:45.928884,0.002,2.000020000200002e-08,1,40,254,0.0005287452874528746
234,2018-06-07 11:13:46.799293,0.002,2.000020000200002e-08,0,1,254,0.0005303053030530306
235,2018-06-07 11:13:47.764692,0.002,2.000020000200002e-08,5,21,254,0.0005302853028530286
236,2018-06-07 11:13:48.633916,0.002,2.000020000200002e-08,3,25,254,0.0005295852958529586
237,2018-06-07 11:13:49.535884,0.002,2.000020000200002e-08,5,35,254,0.0005279852798527986
238,2018-06-07 11:13:50.519680,0.002,2.000020000200002e-08,3,0,254,0.0005276452764527645
239,2018-06-07 11:13:51.388317,0.002,2.000020000200002e-08,6,41,254,0.0005303053030530306
240,2018-06-07 11:13:52.255944,0.002,2.000020000200002e-08,1,48,254,0.0005279052790527906
241,2018-06-07 11:13:53.116908,0.002,2.000020000200002e-08,2,23,254,0.0005293652936529366
242,2018-06-07 11:13:54.014901,0.002,2.000020000200002e-08,2,50,254,0.0005279852798527986
243,2018-06-07 11:13:54.873801,0.002,2.000020000200002e-08,4,34,254,0.0005279052790527906
244,2018-06-07 11:13:55.786313,0.002,2.000020000200002e-08,8,51,254,0.0004852648526485265
245,2018-06-07 11:13:56.656272,0.002,2.000020000200002e-08,8,43,254,0.0004854648546485465
246,2018-06-07 11:13:57.568740,0.002,2.000020000200002e-08,6,6,254,0.0005275652756527566
247,2018-06-07 11:13:58.520548,0.002,2.000020000200002e-08,1,35,254,0.0005279852798527986
248,2018-06-07 11:13:59.429243,0.002,2.000020000200002e-08,2,14,254,0.0005293452934529346
249,2018-06-07 11:14:00.309785,0.002,2.000020000200002e-08,1,24,254,0.0005303453034530346
250,2018-06-07 11:14:01.182864,0.002,2.000020000200002e-08,1,12,254,0.0005269052690526905
251,2018-06-07 11:14:02.086159,0.002,2.000020000200002e-08,4,38,254,0.0005296052960529605
252,2018-06-07 11:14:03.025054,0.002,2.000020000200002e-08,7,17,254,0.0005279852798527986
253,2018-06-07 11:14:03.932780,0.002,2.000020000200002e-08,0,27,254,0.0005275452754527546
254,2018-06-07 11:14:04.833597,0.002,2.000020000200002e-08,6,6,254,0.0005303453034530346
255,2018-06-07 11:14:05.772191,0.002,2.000020000200002e-08,0,3,254,0.0005268252682526825
256,2018-06-07 11:14:06.717285,0.002,2.000020000200002e-08,6,43,254,0.0005303653036530366
257,2018-06-07 11:14:07.641131,0.002,2.000020000200002e-08,0,49,254,0.0005269052690526905
258,2018-06-07 11:14:08.529389,0.002,2.000020000200002e-08,2,27,254,0.0005293452934529346
259,2018-06-07 11:14:09.455442,0.002,2.000020000200002e-08,3,49,254,0.0005268852688526885
260,2018-06-07 11:14:10.366716,0.002,2.000020000200002e-08,6,12,254,0.0005279052790527906
261,2018-06-07 11:14:11.269744,0.002,2.000020000200002e-08,8,39,254,0.0004878848788487885
262,2018-06-07 11:14:12.169172,0.002,2.000020000200002e-08,9,49,254,0.0004878448784487845
263,2018-06-07 11:14:13.038933,0.002,2.000020000200002e-08,6,35,254,0.0005302853028530286
264,2018-06-07 11:14:13.988184,0.002,2.000020000200002e-08,3,22,254,0.0005278452784527846
265,2018-06-07 11:14:14.932702,0.002,2.000020000200002e-08,6,43,254,0.0005269052690526905
266,2018-06-07 11:14:15.882950,0.002,2.000020000200002e-08,8,30,254,0.00048342483424834254
267,2018-06-07 11:14:16.752346,0.002,2.000020000200002e-08,9,25,254,0.0004854848548485485
268,2018-06-07 11:14:17.631596,0.002,2.000020000200002e-08,8,49,254,0.0004863048630486305
269,2018-06-07 11:14:18.548543,0.002,2.000020000200002e-08,6,47,254,0.0005303053030530306
270,2018-06-07 11:14:19.418973,0.002,2.000020000200002e-08,0,39,254,0.0005269052690526905
271,2018-06-07 11:14:20.288398,0.002,2.000020000200002e-08,2,31,254,0.0005303053030530306
272,2018-06-07 11:14:21.215863,0.002,2.000020000200002e-08,2,15,254,0.0005303853038530386
273,2018-06-07 11:14:22.130453,0.002,2.000020000200002e-08,4,14,254,0.0005302853028530286
274,2018-06-07 11:14:23.047460,0.002,2.000020000200002e-08,6,27,254,0.0005312253122531225
275,2018-06-07 11:14:23.953642,0.002,2.000020000200002e-08,2,16,254,0.0005304053040530405
276,2018-06-07 11:14:24.908502,0.002,2.000020000200002e-08,2,12,254,0.0005269052690526905
277,2018-06-07 11:14:25.774816,0.002,2.000020000200002e-08,5,51,254,0.0005303653036530366
278,2018-06-07 11:14:26.722439,0.002,2.000020000200002e-08,3,31,254,0.0005279052790527906
279,2018-06-07 11:14:27.597869,0.002,2.000020000200002e-08,4,46,254,0.0005302853028530286
280,2018-06-07 11:14:28.559089,0.002,2.000020000200002e-08,6,40,254,0.0005304053040530405
281,2018-06-07 11:14:29.438090,0.002,2.000020000200002e-08,6,26,254,0.0005302853028530286
282,2018-06-07 11:14:30.314291,0.002,2.000020000200002e-08,5,7,254,0.0005302853028530286
