sample,time,window,precision,modulation,band,delay,sleep,wakeup
163,2018-06-07 10:01:36.386869,0.4,4.000040000400005e-06,7,45,0.1593850234265367,1.600016000160002e-05,0.00048800488004880054
164,2018-06-07 10:01:37.832291,0.4,4.000040000400005e-06,6,26,0.08252675571810678,1.600016000160002e-05,0.00048400484004840053
165,2018-06-07 10:01:39.278769,0.4,4.000040000400005e-06,2,48,0.1430167757234826,1.600016000160002e-05,0.00048400484004840053
166,2018-06-07 10:01:40.675431,0.4,4.000040000400005e-06,6,10,0.1143924147445567,1.600016000160002e-05,0.00048800488004880054
167,2018-06-07 10:01:42.108690,0.4,4.000040000400005e-06,5,9,0.07145838548639878,1.600016000160002e-05,0.00048400484004840053
168,2018-06-07 10:01:43.526489,0.4,4.000040000400005e-06,1,16,0.18993020479057637,1.600016000160002e-05,0.00048400484004840053
169,2018-06-07 10:01:44.985940,0.4,4.000040000400005e-06,0,34,0.07757804699576237,1.600016000160002e-05,0.00048400484004840053
170,2018-06-07 10:01:46.421482,0.4,4.000040000400005e-06,2,10,0.15138834170810522,1.600016000160002e-05,0.00048400484004840053
171,2018-06-07 10:01:47.820263,0.4,4.000040000400005e-06,5,38,0.08176734726848872,1.2000120001200014e-05,0.00048400484004840053
172,2018-06-07 10:01:49.259961,0.4,4.000040000400005e-06,5,12,0.10608166220294737,1.600016000160002e-05,0.00048400484004840053
173,2018-06-07 10:01:50.683227,0.4,4.000040000400005e-06,5,48,0.09092855088474634,1.600016000160002e-05,0.00048400484004840053
174,2018-06-07 10:01:52.085465,0.4,4.000040000400005e-06,5,29,0.02064134670672009,1.600016000160002e-05,0.0004800048000480005
175,2018-06-07 10:01:53.523619,0.4,4.000040000400005e-06,1,44,0.1780509658204531,1.600016000160002e-05,0.00048400484004840053
176,2018-06-07 10:01:54.896250,0.4,4.000040000400005e-06,6,16,0.13244576094326815,1.600016000160002e-05,0.00048400484004840053
177,2018-06-07 10:01:56.392862,0.4,4.000040000400005e-06,0,50,0.12347804800897871,1.2000120001200014e-05,0.0004800048000480005
178,2018-06-07 10:01:57.752388,0.4,4.000040000400005e-06,3,25,0.021862236397270297,1.2000120001200014e-05,0.0004800048000480005
179,2018-06-07 10:01:59.269714,0.4,4.000040000400005e-06,4,2,0.19850844472020335,1.2000120001200014e-05,0.0005160051600516006
180,2018-06-07 10:02:00.713812,0.4,4.000040000400005e-06,3,29,0.06445897843076613,1.600016000160002e-05,0.00048400484004840053
181,2018-06-07 10:02:02.220680,0.4,4.000040000400005e-06,4,14,0.02617890227364175,1.600016000160002e-05,0.00048800488004880054
182,2018-06-07 10:02:03.704464,0.4,4.000040000400005e-06,5,14,0.06538169229268764,1.600016000160002e-05,0.0004800048000480005
183,2018-06-07 10:02:05.150583,0.4,4.000040000400005e-06,2,15,0.05114471670534058,1.600016000160002e-05,0.00048400484004840053
184,2018-06-07 10:02:06.499344,0.4,4.000040000400005e-06,2,40,0.10271630411762699,1.600016000160002e-05,0.00048400484004840053
185,2018-06-07 10:02:07.893168,0.4,4.000040000400005e-06,6,7,0.05053729870233841,1.600016000160002e-05,0.0005160051600516006
186,2018-06-07 10:02:09.260928,0.4,4.000040000400005e-06,6,18,0.003362626850709072,1.600016000160002e-05,0.0004920049200492005
187,2018-06-07 10:02:11.232730,0.4,4.000040000400005e-06,2,20,0.025662619638871422,2.0000200002000023e-05,0.00048400484004840053
188,2018-06-07 10:02:12.679541,0.4,4.000040000400005e-06,7,17,0.06472470714964569,1.600016000160002e-05,0.00048400484004840053
189,2018-06-07 10:02:14.043166,0.4,4.000040000400005e-06,6,8,0.11264341408913084,1.600016000160002e-05,0.00048400484004840053
190,2018-06-07 10:02:15.476778,0.4,4.000040000400005e-06,6,45,0.10156572885073589,1.2000120001200014e-05,0.0004800048000480005
191,2018-06-07 10:02:16.881718,0.4,4.000040000400005e-06,0,14,0.0319146114013634,1.600016000160002e-05,0.00048400484004840053
192,2018-06-07 10:02:18.257006,0.4,4.000040000400005e-06,2,25,0.02802014099904615,1.2000120001200014e-05,0.00048800488004880054
193,2018-06-07 10:02:19.697425,0.4,4.000040000400005e-06,1,45,0.09721462356990361,1.600016000160002e-05,0.00048400484004840053
194,2018-06-07 10:02:21.058129,0.4,4.000040000400005e-06,0,39,0.12961018673772426,1.600016000160002e-05,0.00048400484004840053
