sample,time,window,precision,modulation,band,cad2rf,cad2done,detected
54,2018-06-06 19:34:19.118060,0.2,4.0000008000001605e-08,0,8,8.500001700000341e-05,0.15885379177075837,True
55,2018-06-06 19:34:20.241857,0.002,2.000020000200002e-08,7,44,8.500085000850009e-05,0.0012625526255262553,False
56,2018-06-06 19:34:23.591114,0.02,2.000002000002e-08,4,15,8.496008496008496e-05,0.009543269543269544,True
57,2018-06-06 19:34:26.989775,0.01,1.000001000001e-08,5,10,8.501008501008502e-05,0.004775864775864776,True
58,2018-06-06 19:34:40.473140,0.2,4.0000008000001605e-08,0,24,8.504001700800342e-05,0.15885107177021437,True
59,2018-06-06 19:34:43.673922,0.02,2.000002000002e-08,4,39,8.496008496008496e-05,0.009541189541189541,True
60,2018-06-06 19:34:57.112453,0.1,2.0000004000000802e-08,2,24,8.494001698800341e-05,0.03878908775781756,False
61,2018-06-06 19:34:58.290141,0.004,4.000040000400004e-08,6,46,8.500085000850009e-05,0.0024241442414424147,True
62,2018-06-06 19:34:59.414141,0.002,2.000020000200002e-08,7,8,8.500085000850009e-05,0.0012622926229262294,False
63,2018-06-06 19:35:02.706808,0.02,2.000002000002e-08,4,26,8.496008496008496e-05,0.009541449541449542,False
64,2018-06-06 19:35:06.213453,0.04,4.000004000004e-08,3,9,8.496008496008496e-05,0.019205339205339206,False
65,2018-06-06 19:35:07.413289,0.004,4.000040000400004e-08,6,9,8.500085000850009e-05,0.0024223042230422306,False
66,2018-06-06 19:35:10.735868,0.04,4.000004000004e-08,3,41,8.496008496008496e-05,0.019205619205619206,False
67,2018-06-06 19:35:24.397304,0.1,2.0000004000000802e-08,1,28,8.500001700000341e-05,0.07846831569366315,False
68,2018-06-06 19:35:38.010071,0.2,4.0000008000001605e-08,0,18,8.496001699200341e-05,0.15885207177041438,False
69,2018-06-06 19:35:41.464333,0.04,4.000004000004e-08,3,45,8.5000085000085e-05,0.01920673920673921,True
70,2018-06-06 19:35:55.347333,0.1,2.0000004000000802e-08,1,13,8.500001700000341e-05,0.07846805569361115,False
71,2018-06-06 19:35:58.971789,0.01,1.000001000001e-08,5,41,8.505008505008505e-05,0.0047738247738247745,False
72,2018-06-06 19:36:02.257343,0.04,4.000004000004e-08,3,12,8.504008504008504e-05,0.01920717920717921,True
73,2018-06-06 19:36:06.047216,0.04,4.000004000004e-08,3,42,8.5000085000085e-05,0.019205419205419207,False
74,2018-06-06 19:36:07.203076,0.002,2.000020000200002e-08,7,33,8.504085040850409e-05,0.0012634126341263413,True
75,2018-06-06 19:36:10.756716,0.04,4.000004000004e-08,3,28,8.492008492008493e-05,0.019205339205339206,True
76,2018-06-06 19:36:24.297864,0.1,2.0000004000000802e-08,2,19,8.502001700400341e-05,0.03878914775782956,False
77,2018-06-06 19:36:37.615139,0.1,2.0000004000000802e-08,2,0,8.496001699200341e-05,0.03878892775778556,False
78,2018-06-06 19:36:50.903069,0.1,2.0000004000000802e-08,1,14,8.496001699200341e-05,0.07847009569401915,True
79,2018-06-06 19:36:54.378889,0.04,4.000004000004e-08,3,35,8.5000085000085e-05,0.01920689920689921,True
80,2018-06-06 19:36:57.908275,0.04,4.000004000004e-08,3,28,8.5000085000085e-05,0.01920537920537921,False
81,2018-06-06 19:37:12.407945,0.2,4.0000008000001605e-08,0,26,8.504001700800342e-05,0.15885155177031038,False
82,2018-06-06 19:37:15.937199,0.02,2.000002000002e-08,4,32,8.496008496008496e-05,0.009541709541709542,False
83,2018-06-06 19:37:19.323660,0.04,4.000004000004e-08,3,2,8.504008504008504e-05,0.01920745920745921,True
84,2018-06-06 19:37:22.908693,0.04,4.000004000004e-08,3,9,8.504008504008504e-05,0.01920717920717921,True
85,2018-06-06 19:37:36.786827,0.2,4.0000008000001605e-08,0,38,8.504001700800342e-05,0.15885363177072637,True
86,2018-06-06 19:37:50.947251,0.1,2.0000004000000802e-08,1,31,8.502001700400341e-05,0.07847033569406715,True
87,2018-06-06 19:37:52.189252,0.002,2.000020000200002e-08,7,50,8.500085000850009e-05,0.0012641526415264153,True
88,2018-06-06 19:37:56.384280,0.01,1.000001000001e-08,5,2,8.5000085000085e-05,0.0047739647739647745,False
89,2018-06-06 19:38:00.654251,0.04,4.000004000004e-08,3,47,8.5000085000085e-05,0.01920745920745921,True
90,2018-06-06 19:38:01.937251,0.002,2.000020000200002e-08,7,0,8.494084940849409e-05,0.0012633126331263313,True
91,2018-06-06 19:38:06.131251,0.02,2.000002000002e-08,4,43,8.494008494008495e-05,0.009541689541689543,True
