sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
138,2018-06-18 11:49:11.921213,0.4,4.0004000400040005e-05,3,36,7,843381,887479,False
139,2018-06-18 11:49:13.100381,0.04,4.004004004004004e-05,9,13,3,876,1400,False
140,2018-06-18 11:49:14.381768,0.1,1.0001000100010001e-05,5,9,9,17871,138740,False
141,2018-06-18 11:49:15.572791,0.1,1.0001000100010001e-05,6,41,5,53089,114762,True
142,2018-06-18 11:49:25.734682,4.0,4.000040000400004e-05,0,46,12,10373766,10430812,False
143,2018-06-18 11:49:26.911574,0.04,4.004004004004004e-05,7,47,9,66390,67752,False
144,2018-06-18 11:49:28.031252,0.04,4.004004004004004e-05,8,21,3,2458,2801,True
145,2018-06-18 11:49:29.255731,0.04,4.004004004004004e-05,7,45,5,52038,54304,True
146,2018-06-18 11:49:30.473474,0.04,4.004004004004004e-05,9,1,6,2205,3242,True
147,2018-06-18 11:49:35.911283,2.0,2.000020000200002e-05,0,5,9,3287828,6796101,True
148,2018-06-18 11:49:37.192285,0.1,1.0001000100010001e-05,6,24,9,21405,48986,False
149,2018-06-18 11:49:38.380282,0.1,1.0001000100010001e-05,6,12,6,59187,111145,True
150,2018-06-18 11:49:39.523285,0.1,1.0001000100010001e-05,5,39,7,204505,212834,False
151,2018-06-18 11:49:40.690341,0.04,4.004004004004004e-05,8,24,10,8941,9577,True
152,2018-06-18 11:49:41.805365,0.04,4.004004004004004e-05,7,44,7,4567,61118,False
153,2018-06-18 11:49:43.020340,0.04,4.004004004004004e-05,9,0,3,2040,2297,False
154,2018-06-18 11:49:44.538341,0.4,4.0004000400040005e-05,3,21,10,634080,1126763,True
155,2018-06-18 11:49:49.930389,2.0,2.000020000200002e-05,0,7,7,5750083,7298096,True
156,2018-06-18 11:49:55.347302,2.0,2.000020000200002e-05,0,48,8,7910345,7957532,False
157,2018-06-18 11:49:56.613680,0.1,1.0001000100010001e-05,5,6,7,97499,143159,True
158,2018-06-18 11:49:57.818273,0.1,1.0001000100010001e-05,5,34,8,66458,122840,True
159,2018-06-18 11:49:59.007630,0.04,4.004004004004004e-05,8,34,11,10499,12875,False
160,2018-06-18 11:50:00.259623,0.04,4.004004004004004e-05,8,15,11,4476,8867,True
161,2018-06-18 11:50:01.501638,0.1,1.0001000100010001e-05,6,0,6,8201,113238,False
162,2018-06-18 11:50:06.912436,2.0,2.000020000200002e-05,0,4,6,737570,4493514,False
163,2018-06-18 11:50:12.292227,2.0,2.000020000200002e-05,1,16,11,3808459,4575479,False
164,2018-06-18 11:50:13.553725,0.1,1.0001000100010001e-05,6,46,3,27585,86646,True
