sample,time,window,precision,modulation,rx2rxtimeout
269,2018-05-31 20:28:03.740255,0.002,2.0002000200020003e-07,9,0.0006088608860886089
270,2018-05-31 20:28:04.586847,0.002,2.0002000200020003e-07,9,0.0005980598059805981
271,2018-05-31 20:28:05.564735,0.04,4.0000400004000043e-07,5,0.014435344353443536
272,2018-05-31 20:28:14.531706,1.0,2.00000040000008e-07,1,0.22862904572580914
273,2018-05-31 20:28:23.902576,1.0,2.00000040000008e-07,1,0.22862324572464915
274,2018-05-31 20:28:34.719866,2.0,4.00000080000016e-07,0,0.45698209139641827
275,2018-05-31 20:28:35.671953,0.002,2.0002000200020003e-07,8,0.0008620862086208621
276,2018-05-31 20:28:36.695156,0.04,4.0000400004000043e-07,5,0.014440944409444096
277,2018-05-31 20:28:45.632469,1.0,2.00000040000008e-07,1,0.22863244572648914
278,2018-05-31 20:28:46.538238,0.002,2.0002000200020003e-07,8,0.0008688868886888689
279,2018-05-31 20:28:47.550578,0.02,2.0000200002000021e-07,7,0.004745247452474525
280,2018-05-31 20:28:48.555723,0.02,2.0000200002000021e-07,7,0.004740047400474005
281,2018-05-31 20:28:49.508873,0.02,2.0000200002000021e-07,7,0.004736047360473605
282,2018-05-31 20:28:50.423501,0.02,2.0000200002000021e-07,7,0.004741247412474125
283,2018-05-31 20:28:59.503157,1.0,2.00000040000008e-07,1,0.22855684571136914
284,2018-05-31 20:29:00.416234,0.002,2.0002000200020003e-07,8,0.0008644864486448646
285,2018-05-31 20:29:10.491296,2.0,4.00000080000016e-07,0,0.4568104913620983
286,2018-05-31 20:29:20.728499,2.0,4.00000080000016e-07,0,0.45706009141201825
287,2018-05-31 20:29:29.792175,1.0,2.00000040000008e-07,1,0.22851324570264914
288,2018-05-31 20:29:30.859465,0.02,2.0000200002000021e-07,7,0.004744247442474425
289,2018-05-31 20:29:31.912162,0.04,4.0000400004000043e-07,6,0.00932609326093261
290,2018-05-31 20:29:32.899919,0.04,4.0000400004000043e-07,6,0.00933929339293393
291,2018-05-31 20:29:35.160916,0.2,2.000002000002e-07,3,0.05727405727405727
292,2018-05-31 20:29:37.559467,0.2,2.000002000002e-07,3,0.057280257280257284
293,2018-05-31 20:29:47.948953,2.0,4.00000080000016e-07,0,0.4570496914099383
294,2018-05-31 20:29:48.948355,0.04,4.0000400004000043e-07,6,0.009340893408934091
295,2018-05-31 20:29:49.855960,0.002,2.0002000200020003e-07,9,0.0005972597259725973
296,2018-05-31 20:29:58.820403,1.0,2.00000040000008e-07,1,0.22851884570376912
297,2018-05-31 20:30:01.326499,0.2,2.000002000002e-07,3,0.0572972572972573
298,2018-05-31 20:30:10.964377,1.0,2.00000040000008e-07,1,0.22856164571232915
299,2018-05-31 20:30:20.836632,2.0,4.00000080000016e-07,0,0.45701129140225827
300,2018-05-31 20:30:21.781911,0.002,2.0002000200020003e-07,8,0.0008668866886688669
301,2018-05-31 20:30:31.551477,1.0,2.00000040000008e-07,1,0.22858644571728914
302,2018-05-31 20:30:34.244604,0.2,2.000002000002e-07,3,0.05728805728805729
303,2018-05-31 20:30:35.244124,0.04,4.0000400004000043e-07,5,0.014442544425444256
304,2018-05-31 20:30:37.690041,0.2,2.000002000002e-07,3,0.057295057295057294
305,2018-05-31 20:30:47.012565,1.0,2.00000040000008e-07,1,0.22865564573112915
306,2018-05-31 20:30:48.173424,0.04,4.0000400004000043e-07,6,0.00933809338093381
307,2018-05-31 20:30:49.076245,0.002,2.0002000200020003e-07,8,0.0008690869086908691
308,2018-05-31 20:30:49.930646,0.002,2.0002000200020003e-07,8,0.0008696869686968697
309,2018-05-31 20:30:52.218521,0.1,1.000001000001e-07,4,0.028733828733828733
310,2018-05-31 20:30:53.358385,0.04,4.0000400004000043e-07,5,0.014447344473444736
311,2018-05-31 20:30:55.619298,0.2,2.000002000002e-07,3,0.057274857274857274
